,Explica pelota de gritos,a_similarity,a_wmdistances,a_n_similarity,a_distance,a_puntaje,Explica pelota de pelos,b_similarity,b_wmdistances,b_n_similarity,b_distance,b_puntaje,Explica pelota de plata,c_similarity,c_wmdistances,c_n_similarity,c_distance,c_puntaje
0,por que hace mucho ruido,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene melena,0.0974413,0.047672901302576065,0.117969334,0.9138130843639374,3,que es dura o aguanta,0.09665418,0.049651775509119034,0.052055866,1.2237169593572617,1
1,que es un hermano que grita mucho más de lo normal ,0.52897716,0.04558006843760104,0.7389515,0.8780102916061878,3,porque si mas que nada,False,False,False,False,1,puede ser una medalla o una esfera color metálico ,0.5793812,0.04446788854169287,0.6506479,0.8789544366300106,1
2,que es una persona gritona,0.24884206,0.04441243897810578,0.33031517,0.8856650404632092,3,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,3,una joya,0.26469812,0.04476975277066231,0.21048592,0.9683155529201031,1
3,porque el niño grita mucho,0.6309712,0.04300012537124381,0.7863949,0.7926453500986099,3,por que se le pegan al balón,0.10744134,0.04581465018537827,0.13256581,0.9530372675508261,1,seria muy brillosa la pelota,0.34187788,0.04873271659016609,0.42143494,0.8443233966827393,2
4,es muy gritón,0.3236592,0.04827113449573517,0.3236592,0.8502195775508881,3,porque trata decir que es un gato y vomita y saca bolas de pelos,0.2005689,0.04845982912998274,0.34551173,0.8672970253974199,1,da a conocer que que es uno muy fuerte,0.30839777,0.0453583300113678,0.35540068,0.9374402090907097,3
5,que grita todo el tiempo,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que los peros tienen pelos,0.15481883,0.04394026671051979,0.21982026,0.9501593969762325,3,que la pelota es de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
6,que su hermano es un gritón,0.3289657,0.04666537107116729,0.40522,0.83058662712574,3,las mascotas tienen pelos,0.10488497,0.045561710939191286,0.08266437,1.0181217715144157,3,por que la luna es de un color similar a la plata,0.60842854,0.046437996086832134,0.7992625,0.8825647328048944,3
7,porque su hermanito sube demasiado la voz,0.21311444,0.04590759403533018,0.32710934,0.9023873209953308,3,porque puede que su animal puede que tenga un chillido,0.15720695,0.04425511385218054,0.22064203,0.8798096477985382,3,porque es algo de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,2
8,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,0.3714383,0.04510112618332232,0.6242542,0.8580241245882851,3,por que una cabeza tiene pelos,0.2916694,0.04200643898516893,0.32174486,0.9289485439658165,1,por que la soledad es un tesoro que se debe de aprovechar y usarse,0.13049729,0.045361899009926404,0.17757961,0.9834090315271169,3
9,porque tal vez su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que se podría comparar a una pelota de pelos,0.21512029,0.044406019898655065,0.3383946,0.849594717224439,3,por que el frio se puede comparar con la plata en su esplendor,0.26327944,0.0460637635345906,0.45815456,0.9523295350372791,3
