,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
0,1,m,no por que no se le entienden,3559.0,por que hace mucho ruido,3088.0,un leon,1565.0,que es dura o aguanta,3874.0,que esta enredado,1497.0,duros,1552.0,tierna,1697.0,triste,1635.0,fue de dia,2400.0,que te va ir mejor,3482.0,un adorno,2738.0,por que la puedes utilizar,4034.0,cubrirte,2802.0,por que se puede ocupar,3381.0,que es dulce,2336.0,por que no se puede ocupar,3588.0,un monumento,2691.0,por que la pueden ocupar para representar a alguien,3748.0,que es dura,2581.0,por que aguanta,3735.0,que no te puede abrigar,2395.0,por que la ocupan para pasar,3467.0,que alguien la trajo,2553.0,por que no se mueven solas,3053.0,que hacen ejercicio,2446.0,por que si,2935.0,que tienes triempo,2795.0,por que si hay tiempo,3572.0,3559.0,2828.535714285714
1,2,m,"si, porque es una metafora que se refiera a alguien cantando",,"que es un hermano que grita mucho, mas de lo normal :v",,"una cabeza, un cepillo, algo redondo con pelos, alambre o algo q sobre salga con textura a pelos :v",,puede ser una medalla o una esfera color metalico :v,,cabello maltratado,,son dientes blancos :v,,"una hermana rikolina v: ok no, es una hermana tierna, amable etc.",,"una... sonrisa... muy....fria :u, ok no, es una sonrisa finjida",,"se quedo, se fue, y ahora amanecio",,"que despues de la tormenta, viene la calma (osea que mejorara la situacion)",,que las estrellas son tan pero tan brillantes que parecen de cristal,,noooo :v porque las estrellas estan a millones de kilometros y son esferas de gas que se van consumiendo asta explotar y convertirse en ya sea una estrella de protones o una super nova,,que el vestido es de un material de seda o tela :v,,porque existen y estamos vestidos con ellos ( ),,que los zapatos son de color parecido a la miel,,porque sino se convertirian en liquido los pies,,que es de piedra,,porque las estatuas del siglo xix (mejor dicho en su mayoria) son y fueron hechas en piedra,,"que, es un alma temple que nada la puede destruir ya que luchara con valor por su familia y seres queridos",,porque el alma es algo intangible y el acero es algo tangible,,que la banqueta es caliente o te cubre :v,,porue sino seria una cobijafrazada :v,,que ya la trajieron,,porque los que la empacan la llevan asta su destino,,que cumplen su cometido,,si porque los atletas corren daaaa :v,,que el tiempo te espera,,porque el tiempo no espera a nadieeeeeee :v,,3088.0,
2,3,m,ns,,que es una persona gritona,,esta echa o esta de pelos de una que esta muy bien,,una joya,,de zacate,,dientes de perlas,,dulce,,de hielo,,quedo atras,,habra epocas que seran mejores que ahora,,NS,,por que brillan y se podria decir que son de cristal,,vestidos que estan hechos de tela,,por que los hacen con tela,,zapatos que estan hechos de miel,,no no se pueden hacer zapatos de miel,,alguna figura que esta hecha de piedra,,por si existe,,que es fuerte,,no puede existir,,NS,,NS,,la silla lego o la trajeron,,por que si se pueden trasladar sillas pero las sillas no se mueven solas,,hacen su trabajo,,a eso se dedican,,de que te alcanza el tiempo para hacer varias cosas,,por que hay gente que dice esas cosas,,1565.0,
3,4,m,por que no puede aver pelotas que cantan,,porque el nino grita mucho,,podria ser un balon con muchos pelos,,seria muy brillosa la pelota,,muy rasposo,,son como cuadrados,,es muy7ncarinosa,,es muy linda,,paso otro dia,,que bendran mejores tiempos para ellos,,"no pueden existir las estrellas de cristal,no es posible",,nadien las invento,,que si existen los vestidos de telas,,por que los pueden hacer,,no pueden existir,,nadien lom a hecho,,que es posible hacerlas,,por que las podemos hacer nosotros,,no existe la alma de hierro,,no es posible hacer una alma de hierro,,que las pueden hacer,,estaria bien hacer eso,,no puede llegar una silla sola,,no se puede hacer eso,,que lo pueden hacer los atletas,,por que los atletas corren,,no puede ser,,el tiempo no alcanza,,3874.0,
4,5,m,porque da a explicar lo qque es y como y explican las cosas de lo que es,,es muy griton,,un gato,,da a conocer que que es unm muy fuerte,,de zacatecas,,de perla,,dulce,,congelada,,oscuresio,,que deja los mas balioso que tienes todo va y viene,,porque es de un material quen es posible de encontrar,,es material facil de encontrar,,poque es tela,,si se puede hacer facilmente,,q si se podria hacer zapatos de miel,,no porquer la miel no es material duro,,tatuar a alguien en una escultura,,si porque es piedra y no se rompe al tacto,,corazon fuerte,,no porque todos somos sencibles,,que nos cubra des frio,,no porwue no se puede hac er unba banca cubre frio,,que la banca camina,,no porque no tiene alma,,que si podemos correr,,si somos atletas,,el tiempo es oro,,si cada minuto vale,,1497.0,
5,6,m,por que su mama es gorda,,que grita todo el tiempo,,un pero gordo,,que la pelota es de plata,,alborotado,,brillantes,,dulce,,una sonrisa fria,,"nada, solo amanecio",,te ira mejor en un futuro,,que brillan,,porque las estrellas tienen luz propia y se compone por otros materiales,,que estan vestidos con tela,,por que con eso se viste la gente,,ni idea,,porque la miel es liquida,,que esta echa de piedra,,"por que es un material que se usa para eso, entre otros materiales",,que es dificil herir sus sentimientos,,por que nadie puede tener el alma de hierro,,ni la mas remota idea,,por que una banqueta no abriga,,que ya hay espacio para sentarse,,por que las sillas no se mueven a menos que hayan sido poseidas,,que los atletas estan corriendo,,porque todo el mundo puede correr,,que te alcanza el tiempo para hacer algo,,porque el tiempo como tal no puede alcanzar nada,,1552.0,
6,7,m,es una metafora,,que su hermano es un griton,,"un gato , un hamster etc",,por que la luna es de un color similar a la plata,,muy descuidado,,bonitos y brillantes,,de buen caracter y amable,,muy fija y sin sentimientos,,la noche ya paso y no s puede hacer nada,,que estos tiempos son malos,,que son bellas,,"porque las estrellas son masas gravitatorias las cuales con hidrogeno hacen elementos mas pesados tales como helio, oxigeno, argon los cuales generan luz como resultado secundario",,que esta hecho de tela,,porque es factible,,que son de color miel,,no porque la miel es un liquido,,que el material de composicion es piedra,,es factible ya que los humanos tallamos piedra desde la edad de piedra,,que el es muy resistente a tentacion y otras cosas,,porque un alma no es de hierro es de energia,,que la banqueta es bonita,,que la banqueta es tan bonita que es agradable,,que alguien llevo una silla a ese lugar,,sies posible que alguien haya llevado la silla,,porque los deportistas es lo que hacen,,todos corremos y eso es a lo que se dedican los atletas,,que e tiempo es suficiente para una accion,,porque el tiempo se puede medir,,1697.0,
7,8,m,si porque es una metafora hacia su hermano,,porque su hermanito sube demasiado la voz,,un animal que a lo mejor tengan un animal,,porque es algo de plata,,es un cabello que luego se te enreda y te queda como zacate,,"son dientes blancos, finos",,es una ternura,,sonrisa muy fria,,como el pasado es pasado,,que si tienes un problema y se solucionara y mas despues vendran tiempos mejores tiempo de felicidad,,porque no creo que exista o haya una estrella de cristal,,porque no creeo que haya un estrella asi,,porque la tela es como un tipo de vestir,,es un tipo de vestimenta,,que un zapato es como miel dulce,,porque no existen,,es una arte,,porque es una arte que una personas podrian hacer,,tienen un alma muy dura,,pues su alma puede ser dura,,pues que una banqueta te abrigue no hay,,porque no hay cosas asi,,que te trajeron una silla para sentarte,,te vieron que estabas parado y te la trajeron para sentarte,,corren para ganar una competencia,,porque eso si es posible que haya una competencia,,que el tiempo es muy corto,,porque luego estas muy apurado y el tiempo se va muy rapido,,1635.0,
8,9,m,por que hay pelotas que producen sonidos con cierta afinacion podria tocarse una hermosa melodia,,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,,una cabeza,,por que la soledad es un tesoro que se deb de aprovechar y usarse.,,"el cabello es de diferentes formas lacio, chino, crespo, suave ect .",,que son blancos como unas perlas,,que la hermana es amistosa y akegre,,que es una sonrisa sin sentimientos una persona hipocrita,,que la noche ya paso al pasado por que sigue un nuevo dia.,,que si el tiempo o la condicion esta mal pronto mejorara,,que las estrellas son tan fragiles y hermosas como un cristal,,si es posible debido a la fragilidad de estos objetos,,que la ropa es de tela,,es posible debido a que la tela tiene una propiedad calorifica y es liviana,,que con la miel hacen zapatos,,no por que seria imposible usar la miel como para hacer un calzado,,que una estatua es de piedra,,es posible debido a que se talla la toca hasta darle una forma,,que una persona es muy cruel,,si por que hay gente muy cruel como hittler que tenia un alma de hierro era muy cruel,,que una banqueta sirve para que un mendigo se abrigue en ella,,si es posible debido a que hay gente que duermen en ellas,,que trjeron una silla,,es posible por que se puede encargar una silla y alguien decirte que tu silla ya llego,,que los deportistas corren,,"es posible por que un jugador de futbol no camina, si no corre por el balon",,que una persona tarde o temprano se vera vieja,,si por que al pasar el tiempo envejecemos,,2400.0,
9,10,m,porque el poema te esta ablando en sentido litersario y esta frase no concerda con el poema,,porque talves su hermano grita mucho,,un perro,,por que el frio se puede comparar con la plata en su explendor,,pues seria rasposo esponjoso y facil de distinguir,,brillantes,,dulce carinosa,,fria,,la noche ya paso y se quedo atras,,que esta pasando por un duro momento y al pasar sera mejor,,porque una estrella se puede convertir en cristal con el paso del tiempo,,porque esto puede suceder con el paso del tiempo,,que un vestido se puede hacer de tela,,la tela es un material con el que se pueden fabricar vestidos,,que si unos zapatos se pueden fabricar de miel,,la miel es un material comestible y no duraria como otro material,,que si una escultura se puede fabricar de piedra,,por que artistas de este genero pueden trabajar con este material,,cientificamente no pero literario si,,por que una persona puede ser inquebrantable,,una banqueta no puede abrigarte,,por que no se pueden mober,,que la silla llego,,no se puede mober,,que un atleta corre,,por puede moberse por si solo,,que el tiempo te alcanza,,por que te puede alcanzar para hacer cosas,,3482.0,
