,word,ninos,author,proportion
1,(dormido),0.00462962962962963,ninas,NA
2,en la diversion en juego puede (hacer mas cosas??) en la pelota,0.00462962962962963,ninas,NA
3,"imaginense una pelota cantar, no es normal",0.00462962962962963,ninas,NA
4,no entiendo,NA,ninas,0.00943396226415094
5,"no, es algo ironico",0.00462962962962963,ninas,NA
6,"no, es poema y no es cancion",NA,ninas,0.00471698113207547
7,"no, es sentido figurado mas no literal",0.00462962962962963,ninas,NA
8,no hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran,NA,ninas,0.00471698113207547
9,"no, las pelotas no cantan",NA,ninas,0.00471698113207547
10,"no, las pelotas no tienen boca",NA,ninas,0.00471698113207547
11,no le entiendo,0.00462962962962963,ninas,NA
12,"no, mi mama no canta o tal vez las demas igual no",0.00462962962962963,ninas,NA
13,"no, nadie entenderia",0.00462962962962963,ninas,NA
14,"no, ninguna pelota habla",NA,ninas,0.00471698113207547
15,"no, ninguna pelota puede cantar",0.00462962962962963,ninas,NA
16,"no, no rima y no tiene sentido de las palabras",NA,ninas,0.00471698113207547
17,"no, no se",0.0185185185185185,ninas,NA
18,"no, no tiene sentido",NA,ninas,0.0141509433962264
19,"no, porque casi no rima",NA,ninas,0.00471698113207547
20,"no, porque casi no se le entiende que quiere decir",NA,ninas,0.00471698113207547
21,"no, porque como que no se escucha bien",0.00462962962962963,ninas,NA
22,"no, porque ?como una pelota canta?",NA,ninas,0.00471698113207547
23,"no, porque dice cosas extranas",0.00462962962962963,ninas,NA
24,"no, porque ellas no hablan",0.00462962962962963,ninas,NA
25,"no, porque el sentimiento es de alegria",NA,ninas,0.00471698113207547
26,"no, porque en realidad es una metafora y las metaforas son mentira",0.00462962962962963,ninas,NA
27,"no, porque es algo muy raro",0.00462962962962963,ninas,NA
28,"no, porque es imposible que una pelota cante, aunque metaforicamente si",NA,ninas,0.00471698113207547
29,"no, porque es obvio que ninguna ""pelota canta""",NA,ninas,0.00471698113207547
30,"no, porque eso no existe",NA,ninas,0.00471698113207547
31,"no, porque esta como insultando a las personas",NA,ninas,0.00471698113207547
32,"no, porque esta en sentido figurado",0.00462962962962963,ninas,NA
33,"no,porque esta en sentido figurado",NA,ninas,0.00471698113207547
34,"no, porque es tonta",NA,ninas,0.00471698113207547
