"line","word"
1,"una bola llena de pelos"
2,"mi vecina porque, que se?"
3,"que es una pelota"
4,"mi cabello, porque cuando te peinas te puedes hacer chinos"
5,"se le cae el pelo o porque tiene mucho pelo"
6,"un oso, un lobo son animales que necesitan su pelo para cubrirse."
7,"un gato porque tiene muchos pelos."
8,"una cabeza con muchos pelos"
9,"los perros y la cabeza"
10,"perro tiene pelos"
11,"el cabello desordenado"
12,"tiene muchos pelos"
13,"un perro"
14,"su papa es de pelos"
15,"perro, porque es muy peludo"
16,"significa que su papa es porque son peludos"
17,"gato, porque tiene pelos"
18,"que esta chida esta de !pelos!"
19,"mi perro es una pelota de pelos"
20,"mi primo tiene pelos"
21,"una cabeza, porque tiene pelos"
22,"mi cabeza, tiene mucho cabello"
23,"porque esta lleno de pelo de la cabeza hasta la cola"
24,"perro porque tiene pelos*"
25,"mi abuelito es una pelota de pelos"
26,NA
27,"puede ser como una pelota de pelos porque puede ser asi"
28,"jamster porque tiene pelo"
29,"es chida"
30,"no respondio"
31,"las cabezas de los demas"
32,"perro porque tiene muchos pelos*"
33,"un gato porque sacan bolas de pelo"
34,"la pelota de picos"
35,"es su perro porque tiene mucho pelo"
36,"chango porque tiene pelos"
37,"mi cabello porque se la pasa enredado "
38,"uno mismo por no cortarse el pelo"
39,"seria una pelota hecha de pelos"
40,"un gato"
41,"un gato porque tiene muchos pelos."
42,"para un perro"
43,"el sol porque es redondo"
44,"que son pelotas cualquiera"
45,"el mar porque esta muy grande"
46,"nada porque no existen esas pelotas"
47,"que es suave "
48,"un gato creo"
49,"la de los gatos"
50,"su perro"
51,"una pelota que le cayo pelo de la peluqueria"
52,"mi hermano porque es ruidoso"
53,"algo que tiene mucho pelo, porque asi es como se oye"
54,"perro tiene muchos pelos*"
55,"hamster, porque el chiste es que tenga pelos"
56,"gato porque tiene mucho pelo"
57,"un erizo, tiene muchos pinchos"
58,"una pelota que tiene pelos"
59,"cabeza porque tiene pelos"
60,"un hamster, porque perro ya se ocupa mucho"
61,"perro porque tiene muchos pelos*"
62,"porque una pelota no tiene pelos"
63,"alguien que tiene demasiados pelos, las pelotas son grandes"
64,"alguna persona con mucho pelo"
65,"un peluche, porque algunos son redondos y tienen el pelo suave"
66,"un puerco espin, porque es como una pelota con pelos"
67,"perrito porque tiene muchos pelos*"
68,"mi perrito porque es gordo y peludo*"
69,"la cabeza porque tiene cabello"
70,"un animal con mucho fuego"
71,"muchos pelos, porque una pelota es como mucho"
72,"no lo se es como si fuera de que el balon esta duro"
73,"un perro gordo porque la pelota de pelos podria ser un perro gordo"
74,"perro porque tiene mucho pelo"
75,"gato porque tiene mucho pelo"
76,"cuando te enojas mucho"
77,"un perro"
78,"sin respuesta"
79,"perro porque tiene pelos"
80,"un monton de pelos"
81,"no se"
82,"mi gato porque tiene pelos"
83,"perros porque tienen mucho pelo"
84,"la cabeza porque tiene mucho pelo"
85,"un perro porque tienen muchos pelos"
86,"perro porque es peludo*"
87,"que una pelota tiene pelos"
