x
porque es alegre
"No, porque las pelotas no cantan"
"Si, pelota la que le platico"
"No, porque no existe una pelota que canta"
"No, porque una pelota no puede hablar."
"No, porque las pelotas no cantan"
"No,porque no hablan"
"Si,es una metafora"
"Si, porque te diviertes jugando con ella."
"Si,es algo que nos gusta y se puede decir asi"
"No, porque en realidad es una metafora y las metaforas son mentira"
"si, porque se inspira"
"No, porque me gusta mucho la frase"
Si.
"si, es algo significativo o algo"
"si, porque va diciendo todo con la frase pelota"
"No, porque como que no se escucha bien"
"No, porque no no tiene vida y no tiene boca"
"No, porque no rima"
"no, si no todas las pelotas estuvieran cantando"
"no, porque no tienen boca"
"no, porque no puede ser mi mama una pelota que canta"
"si, porque a cada rato canta"
"No, porque las pelotas no cantan"
"si, es como me dijieron mi mama canta"
NA
no se canta !no tiene sentido!
"si, porque si"
"no, porque nomas son pelotas"
"si, porque alguien se expresa con anhelo"
"no, porque mi mama no canta"
"Si, porque si rima"
"No, porque las pelotas solo se mueven"
"No, no se"
"Si, porque su mama canta"
"si, porque es cantada en todo"
"No, porque no puedo encontrar el ritmo del poema"
"Si, a sentido figurado podria ser una radio"
"Si, porque si da sentido eso de pelotas"
"Si, cuando una persona canta"
"No, porque las pelotas no cantan"
"Si, porque es un juguete para rebotar, rodar y aventar."
"Si, porque suena muchas veces"
"Si, porque canta"
"Si, figurado porque esta hablando con pret"
"No, porque no existen esas pelotas y menos su familia"
"Si, es un poema"
"Si, se refiere a jugar"
"Si, porque son juguetes"
"No, porque no canta"
"Si, porque lo revise 3"
"Si, porque es una persona que canta"
"No, porque es algo muy raro"
"No, porque las pelotas no son seres vivos"
"Si, porque estan describiendo a las personas y a los seres vivos como las pelotas"
"No, porque las pelotas no cantan"
"No, porque las pelotas no tienen boca"
"No, porque las pelotas no cantan"
"Si, porque tu te puedes expresar"
"No, porque las pelotas no cantan"
"No, porque una pelota no pueden ser todas las cosas"
"No, porque las pelotas no cantan"
"si, porque rima*"
"si, porque es como si dijeras que una persona canta pero con pelotas"
"No, porque ninguna pelota puede cantar"
"No, porque las pelotas no cantan"
"No, porque las pelotas no hablan"
"No, porque las pelotas no cantan"
"No, porque una pelota no tiene boca"
"Si, pelota en movimiento"
"No, porque las pelotas no cantan"
"si, porque es como si dijeras que alguien que canta"
"No, porque las pelotas no pueden cantar"
"si, porque habla mucho"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no se mueven ni hablan"
"No, porque las pelotas no cantan"
"Si, porque tal vez se refiere a que rebota"
"si, porque es redonda y circular"
"Si, porque se refiere a objetos"
No le entiendo
"No, porque las pelotas no cantan"
"No, porque no rima tanto pelota que canta porque no termina igual"
"si, quiere decir que su mama es una persona que canta"
"No, porque las pelotas no tienen boca"
"si, porque las mamas luego cantan"
"no, no se"
"si, porque habla de puras pelotas y cuando lo lei si tenia sentido"
"no, porque no tiene sentido"
"si, porque su mama canta"
"no, porque no rima"
"no, porque las pelotas no cantan"
"no, porque las pelotas no hablan"
"no, porque las pelotas rebotan"
"no, porque las pelotas no cantan"
"no, porque las pelotas no cantan"
"No, porque las pelotas no cantan*"
"No, porque no rima"
"No, porque no rima"
"No, porque una pelota no canta"
"No, porque ninguna pelota canta"
(dormido)
"si, el sol es redondo y con fuego"
No tiene sentido porque casi no rima
