,que mi hermanito es muy griton y esta gordito,Preprocesado,2dim,5dim,10dim,20dim,50dim,eval_og
0,si. porque canta,[],0.0,0.0,0.0,0.0,0.0,2
1,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
2,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
3,que mi hermano habla y llora mucho,"['hermano', 'llora']",0.96544343,0.025388025,-0.01983349,-0.0009468645,-0.00038132817,3
4,porque es muy travieso o llora mucho,"['travieso', 'llora']",0.6195546,0.68804383,-0.010239243,-0.0013155928,-0.00037159398,3
5,sus hemanos gritan mucho,"['hemanos', 'gritan']",0.7264754,-0.096002966,-0.09964046,-0.0030135107,0.002368996,3
6,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
7,porque algunos gritamos cuando queremos,[],0.0,0.0,0.0,0.0,0.0,2
8,es muy irritante y llora mucho,['llora'],0.4732021,0.6081827,-0.01341442,-0.00039459858,1.8980354e-05,3
9,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
10,mi hermano es un griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
11,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
12,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
13,su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
14,que grita mucho y no para de reir,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
15,que su hermano es chillon,"['hermano', 'chillon']",0.9525378,0.012826152,0.007278934,0.010636479,0.0034591332,3
16,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
17,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
18,lenguaje literal,[],0.0,0.0,0.0,0.0,0.0,2
19,que mi hermano esta gritando,"['hermano', 'gritando']",0.93723273,0.014037132,0.021679759,0.00065244734,-0.0029172003,3
20,que es griton,['griton'],0.6898538,0.84970593,0.73243403,0.5821683,0.580258,3
21,mi hermano es una pelota que grita mucho,"['hermano', 'pelota', 'grita']",0.8992274,0.0016575642,0.012001041,0.002207987,0.0012138784,3
22,porque cuando no le dan algo se enoja y empieza a gritar,"['empieza', 'gritar']",0.7211366,0.26577625,0.003128848,0.0012287097,-0.0017174333,3
23,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
24,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
25,0,[],0.0,0.0,0.0,0.0,0.0,0
26,es como cuando grita mucho muy fuerte,"['grita', 'fuerte']",0.3544618,0.0088520665,0.015010132,-0.00688472,0.00048459508,3
27,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
28,no grita porque no es como su hermano,"['grita', 'hermano']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,1
29,que se asusta siempre o es muy enojona y grita mucho de furia,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
30,es lloron y es pelota de gritos,"['lloron', 'pelota', 'gritos']",0.99358207,0.012983616,0.01373142,0.0018089488,0.0014334638,3
31,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
32,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
33,que bota,['bota'],0.9805194,-0.28770757,-0.2000441,-0.17676556,-0.09522198,1
34,que su hermano siempre esta gritando,"['hermano', 'gritando']",0.93723273,0.014037132,0.021679759,0.00065244734,-0.0029172003,3
35,porque grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
36,que es aburrido,[],0.0,0.0,0.0,0.0,0.0,1
37,que su hermano siempre o la mayoria de veces grita o llora,"['hermano', 'mayoria', 'grita', 'llora']",0.89002013,0.029343314,-0.0024940893,-0.00025469065,0.0009113997,3
38,porque su hermanito es pequeno y grita por eso,"['hermanito', 'pequeno', 'grita']",0.26906806,0.51897883,0.49202526,0.35030633,0.33537713,3
39,cuando un hermanito grita porque quiere algo,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
40,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,1
41,si. porque siempre chilla,['chilla'],0.97769916,-0.4156014,-0.2257264,-0.010750808,-0.00045545166,3
42,que esta gritando todo el dia,['gritando'],0.6934382,0.040427476,0.05069626,0.0019279756,-0.0035805888,3
43,porque las hermanas por todo se enojan,[],0.0,0.0,0.0,0.0,0.0,3
44,su hermano es muy travieso,"['hermano', 'travieso']",0.95291615,-0.0050679,-0.011549696,-0.0018823519,-0.00077949464,3
45,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
46,que su hermano es griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
47,es muy escandaloso,['escandaloso'],0.71041876,0.18942979,0.06900671,0.014457269,0.0005075638,3
48,llora por ella ,['llora'],0.4732021,0.6081827,-0.01341442,-0.00039459858,1.8980354e-05,1
49,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
