c1_frase,concepto_r_1,df_1,c1_1,c2_1,c3_1,criterio_1,c1,c2_frase,concepto_r_2,df_2,c1_2,c2_2,c3_2,criterio_2,c2,c3_frase,concepto_r_3,df_3,c1_3,c2_3,c3_3,criterio_3,c3,c4_frase,concepto_r_4,df_4,c1_4,c2_4,c3_4,criterio_4,c4,c5_frase,concepto_r_5,df_5,c1_5,c2_5,c3_5,criterio_5,c5,c6_frase,concepto_r_6,df_6,c1_6,c2_6,c3_6,criterio_6,c6,c7_frase,concepto_r_7,df_7,c1_7,c2_7,c3_7,criterio_7,c7,c8_frase,concepto_r_8,df_8,c1_8,c2_8,c3_8,criterio_8,c8,c9_frase,concepto_r_9,df_9,c1_9,c2_9,c3_9,criterio_9,c9,c10_frase,concepto_r_10,df_10,c1_10,c2_10,c3_10,criterio_10,c10,c11_frase,concepto_r_11,df_11,c1_11,c2_11,c3_11,criterio_11,c11,c12_frase,concepto_r_12,df_12,c1_12,c2_12,c3_12,criterio_12,c12,c13_frase,concepto_r_13,df_13,c1_13,c2_13,c3_13,criterio_13,c13,c14_frase,concepto_r_14,df_14,c1_14,c2_14,c3_14,criterio_14,c14,c15_frase,concepto_r_15,df_15,c1_15,c2_15,c3_15,criterio_15,c15,c16_frase,concepto_r_16,df_16,c1_16,c2_16,c3_16,criterio_16,c16,c17_frase,concepto_r_17,df_17,c1_17,c2_17,c3_17,criterio_17,c17,c18_frase,concepto_r_18,df_18,c1_18,c2_18,c3_18,criterio_18,c18
cabello de zacate,0,zacate,enredado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,fragil,delicada,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,blanda,0,metafora,3,flores de oro,0,oro,color,extravagante,0,metafora,3,mi dulce hermana,hermana,0,tierna,0,0,metafora,3,mirada ardiente,0,ardiente,pervertida,0,0,metafora,3,corazones frios,0,frios,no expresar,sentimientos,0,metafora,3,sonrisa de hielo,sonrrisa,0,triste,0,0,metafora,3,ojos amargos,0,amargo,triste,0,0,metafora,3,sonrisa tibia,0,tibia,poco sentimiento,0,0,metafora,3,la noche quedo atras,0,quedo,amanecer,0,0,metafora,3,el verano viene,verano,0,0,0,0,imaginativo,2,el ano va muy lento,0,lento,pesadumbre,vida miserable,0,metafora,3,vendran tiempos mejores,0,vendran,mejor,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,no se puede detener,0,convencional,2
cabello de zacate,cabello,0,maltratado,0,0,metafora,3,nubes de leche,nubes,0,esponjoso,humedo,blanco,metafora,3,piel de papel,0,papel,liza,se puede arrugar,0,metafora,3,dientes de perlas,dientes,0,brillantes,0,0,metafora,3,piel de seda,piel,0,suave,calida,0,metafora,3,flores de oro,0,oro,rocio,0,0,metafora,3,mi dulce hermana,hermana,0,tierna,amable,0,metafora,3,mirada ardiente,0,ardiente,negativa,0,0,metafora,3,corazones frios,0,frios,arduamente intenso,sonrrojadamente destenso,0,metafora,3,sonrisa de hielo,sonrrisa,0,finjida,0,0,metafora,3,ojos amargos,0,amargo,decaido,sin ganas,0,metafora,3,sonrisa tibia,0,tibia,lozana,0,0,metafora,3,la noche quedo atras,0,quedo,dia,0,0,metafora,3,el verano viene,verano,0,0,0,0,imaginativo,2,el ano va muy lento,0,0,triste,0,0,metafora,3,vendran tiempos mejores,tiempo,0,calma,0,0,convencional,2,la navidad llego,0,llego,0,0,0,convencional,2,los segundos vuelan,0,volar,pasar,inesperadamente rapido,0,convencional,2
cabello de zacate,0,zacate,rasposo,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,delgada,se puede danar,0,metafora,3,dientes de perlas,dientes,0,bonitos,brillantes,0,metafora,3,piel de seda,0,seda,sedosa,0,0,metafora,3,flores de oro,0,oro,costoso,deseadas,0,metafora,3,mi dulce hermana,0,dulce,0,0,0,metafora,3,mirada ardiente,0,ardiente,ardiente,0,0,metafora,3,corazones frios,0,frios,no sentir,0,0,metafora,3,sonrisa de hielo,sonrrisa,0,fija,sin sentimientos,0,metafora,3,ojos amargos,0,amargo,negro,0,0,metafora,3,sonrisa tibia,0,tibia,sincera,0,0,metafora,3,la noche quedo atras,noche,0,oscuresio,0,0,metafora,3,el verano viene,verano,0,vacaciones,0,0,imaginativo,2,el ano va muy lento,0,0,aburrido,eterno,0,metafora,3,vendran tiempos mejores,tiempo,0,epocas,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,muy rapido,0,0,convencional,2
cabello de zacate,cabello,0,alborotado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,debil,0,0,metafora,3,dientes de perlas,dientes,0,blanco,fino,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,brilla,0,0,metafora,3,mi dulce hermana,hermana,0,carinosa,0,0,metafora,3,mirada ardiente,0,ardiente,enojada,0,0,metafora,3,corazones frios,0,frios,desolado,solitario,0,metafora,3,sonrisa de hielo,sonrrisa,0,hipocresia,0,0,metafora,3,ojos amargos,0,amargo,triste,0,0,metafora,3,sonrisa tibia,0,tibia,calida,sincera,0,metafora,3,la noche quedo atras,noche,0,0,0,0,metafora,3,el verano viene,verano,0,calor,0,0,convencional,2,el ano va muy lento,0,0,lento,aburrido,0,metafora,3,vendran tiempos mejores,0,vendran,va y viene,valioso,0,incierto,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,no se puede detener,0,convencional,2
cabello de zacate,cabello,0,descuidado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,piel,0,sensible,0,0,metafora,3,dientes de perlas,dientes,0,blanco,perla,0,metafora,3,piel de seda,0,seda,suave,seda,0,metafora,3,flores de oro,flores,0,referencia,amarilla,girasol,metafora,3,mi dulce hermana,0,dulce,0,0,0,metafora,3,mirada ardiente,0,ardiente,acojedora,seductora,0,metafora,3,corazones frios,0,frios,no sentir,0,0,metafora,3,sonrisa de hielo,sonrrisa,0,risa,0,0,metafora,3,ojos amargos,0,amargo,trsite,problema,0,metafora,3,sonrisa tibia,0,tibia,timido,0,0,metafora,3,la noche quedo atras,0,quedo,pasado,0,0,metafora,3,el verano viene,0,viene,llega pronto,0,0,convencional,2,el ano va muy lento,0,0,lentos,0,0,metafora,3,vendran tiempos mejores,0,vendran,futuro,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,0,0,convencional,2
cabello de zacate,cabello,0,enredado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,suave,0,0,metafora,3,dientes de perlas,dientes,0,brillantes,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,relucir,0,0,metafora,3,mi dulce hermana,0,dulce,0,0,0,metafora,3,mirada ardiente,0,ardiente,penetrante,0,0,metafora,3,corazones frios,0,frios,sin sentir,0,0,metafora,3,sonrisa de hielo,sonrrisa,0,sonrrisa,0,0,metafora,3,ojos amargos,0,amargo,distinguir el estado emocional,0,0,metafora,3,sonrisa tibia,0,tibia,puerta,alma,0,metafora,3,la noche quedo atras,0,quedo,no volvera,0,0,metafora,3,el verano viene,0,viene,por llegar,0,0,convencional,2,el ano va muy lento,ano,0,sucesos,0,0,convencional,2,vendran tiempos mejores,tiempo,0,malo,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,segundos,0,tiempo,rapido,0,convencional,2
cabello de zacate,cabello,0,rasposo,esponjoso,facil distinguir,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,suave,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,brilla,0,0,metafora,3,mi dulce hermana,hermana,0,caracter,amable,0,metafora,3,mirada ardiente,0,ardiente,intemsa,0,0,metafora,3,corazones frios,0,frios,sin sentimiento,0,0,metafora,3,sonrisa de hielo,0,hielo,fria,muerte,0,metafora,3,ojos amargos,0,amargo,triste,0,0,metafora,3,sonrisa tibia,0,tibia,sonrisa,hermosa,0,metafora,3,la noche quedo atras,noche,0,0,0,0,metafora,3,el verano viene,verano,0,calor,0,0,convencional,2,el ano va muy lento,0,lento,dias largos,0,0,convencional,2,vendran tiempos mejores,tiempo,0,0,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,0,0,convencional,2
cabello de zacate,cabello,0,enredado,0,0,metafora,3,nubes de leche,nubes,0,esponjoso,0,0,metafora,3,piel de papel,0,papel,delgada,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,algodon,0,metafora,3,flores de oro,flores,0,flor,amarilla,0,metafora,3,mi dulce hermana,hermana,0,ternura,0,0,metafora,3,mirada ardiente,0,ardiente,enojo,0,0,metafora,3,corazones frios,0,frios,corazon,sin sentimiento,0,metafora,3,sonrisa de hielo,0,0,brillante,blanca,0,metafora,3,ojos amargos,0,amargo,desolado,0,0,metafora,3,sonrisa tibia,0,tibia,calida,hermosa,0,metafora,3,la noche quedo atras,noche,0,0,0,0,metafora,3,el verano viene,0,viene,por llegar,0,0,convencional,2,el ano va muy lento,lento,0,lento,mal,0,convencional,2,vendran tiempos mejores,tiempo,0,condicion,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,avanza,0,convencional,2
cabello de zacate,cabello,0,enredado,0,0,metafora,3,nubes de leche,nubes,0,suave,algodon,0,metafora,3,piel de papel,0,papel,delgada,0,0,metafora,3,dientes de perlas,0,perla,perlas,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,flores,0,amarilla,0,0,metafora,3,mi dulce hermana,hermana,0,amistosa,alegre,0,metafora,3,mirada ardiente,0,ardiente,fija,suave,0,metafora,3,corazones frios,0,frios,malo,frio,0,metafora,3,sonrisa de hielo,sonrrisa,0,helada,tenebrosa,0,metafora,3,ojos amargos,0,amargo,amargo,0,0,metafora,3,sonrisa tibia,0,tibia,hermosa,tibia,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,verano,0,calor,vacaciones,0,convencional,2,el ano va muy lento,lento,0,no disfrutar,0,0,convencional,2,vendran tiempos mejores,0,vendran,momento,mejor,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,rapido,0,0,convencional,2
cabello de zacate,0,zacate,hilo,rasposo,0,metafora,3,nubes de leche,0,leche,0,0,0,metafora,3,piel de papel,0,papel,suave,0,0,metafora,3,dientes de perlas,dientes,0,granes,brillantes,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,flores,0,girasol,0,0,metafora,3,mi dulce hermana,0,dulce,carinosa,0,0,metafora,3,mirada ardiente,0,ardiente,fija,suave,0,metafora,3,corazones frios,0,frios,sin emocions,sin dolor,0,metafora,3,sonrisa de hielo,sonrrisa,0,blanca,0,0,metafora,3,ojos amargos,0,amargo,feo,0,0,metafora,3,sonrisa tibia,0,tibia,timido,0,0,metafora,3,la noche quedo atras,0,quedo,movimiento tierra,0,0,metafora,3,el verano viene,verano,0,no escuela,0,0,convencional,2,el ano va muy lento,0,0,lento,0,0,convencional,2,vendran tiempos mejores,0,vendran,situacion,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,noche,rapido,0,convencional,2
