"","line","text"
"1",1,"Mucho Dinero"
"2",2,"Mi vecino"
"3",3,"veredo"
"4",4,"Mi estomago "
"5",5,"La nina"
"6",6,"Metal"
"7",7,"Moneda"
"8",8,"Que"
"9",9,"Hermana "
"10",10,"Luna"
"11",11,"tu sonrisa"
"12",12,"Hermanito"
"13",13,"la luna"
"14",14,"la Paja"
"15",15,"El"
"16",16,"anochecer"
"17",17,"mama"
"18",18,"pesada"
"19",19,"Mi perro"
"20",20,"papa"
"21",21,"luna"
"22",22,"mar"
"23",23,"mama"
"24",24,"cual"
"25",25,"mar"
"26",26,""
"27",27,"mi mama"
"28",28,"perro"
"29",29,"pesada"
"30",30,"""no entendio"""
"31",31,"Moneda"
"32",32,"El fierro"
"33",33,"no se"
"34",34,"pelota"
"35",35,"y"
"36",36,"no se"
"37",37,"la luna"
"38",38,"La estrella"
"39",39,"pelotas"
"40",40,"Luna"
"41",41,"el"
"42",42,"voliche"
"43",43,"agua"
"44",44,"Abuela"
"45",45,"la luna"
"46",46,"caliente"
"47",47,"la Luna"
"48",48,"iman"
"49",49,"Baston"
"50",50,"No contesto"
"51",51,"como"
"52",52,"Mi vida"
"53",53,"Medalla"
"54",54,"robot"
"55",55,"no contesto"
"56",56,"Luna"
"57",57,"la nina"
"58",58,"brillante"
"59",59,"el balon"
"60",60,"papa"
"61",61,"la moneda"
"62",62,"que"
"63",63,"arete"
"64",64,"la plata"
"65",65,"tambien"
"66",66,"hierro"
"67",67,"el anillo"
"68",68,"La luna"
"69",69,"plata"
"70",70,"el"
"71",71,"La mina"
"72",72,"El"
"73",73,"que"
"74",74,"cara"
"75",75,"planta"
"76",76,"ella"
"77",77,"La luna"
"78",78,"El agua"
"79",79,"mi moneda"
"80",80,"no se"
"81",81,"No contesto"
"82",82,"el pez"
"83",83,"la luna"
"84",84,"la luna"
"85",85,"la luna"
"86",86,"Moneda"
"87",87,"ella"
"88",88,"y"
"89",89,"moneda"
"90",90,"Luna"
"91",91,"aretes"
"92",92,"No entiendo nada"
"93",93,"Luna"
"94",94,"anillo"
"95",95,"Mama"
"96",96,"el"
"97",97,"Canto"
"98",98,"que es"
"99",99,"que"
"100",100,"que es"
"101",101,"el"
"102",102,"(dormido)"
"103",103,"Luna"
"104",104,"Luna"
"105",105,"No contesto"
"106",106,"Moneda"
"107",107,"que"
"108",108,"fuerte"
"109",109,"no entiendo"
"110",110,"El arete"
"111",111,"Luna"
"112",112,"hermano"
"113",113,"Eliod"
"114",114,"pelota"
"115",115,"senor"
"116",116,"minero"
"117",117,"la luna"
"118",118,"rico"
"119",119,"oro"
"120",120,"plata"
"121",121,"mi goma"
"122",122,"luna"
"123",123,"no respondio"
"124",124,"mi hermanito"
"125",125,"La estrella"
"126",126,"El dinero"
"127",127,"medalla"
"128",128,"la luna"
"129",129,"pelota roja"
"130",130,"el hierro"
"131",131,"mama"
"132",132,"mi consola"
"133",133,"medalla"
"134",134,"la luna"
"135",135,"luna"
"136",136,"carro"
"137",137,"mi cabello"
"138",138,"La luna"
"139",139,"papa"
"140",140,"no respondio"
"141",141,"mi mama"
"142",142,"Luna"
"143",143,"dinero"
"144",144,"La luna"
"145",145,"mi alcancia"
"146",146,"luna"
"147",147,"La luna"
"148",148,"La luna"
"149",149,"oro"
"150",150,"nino"
"151",151,"la luna"
"152",152,"la luna"
"153",153,"no respondio"
"154",154,"mujer"
"155",155,"ella"
"156",156,"la bola"
"157",157,"el"
"158",158,"luego"
"159",159,"La Luna"
"160",160,"hermanito"
"161",161,"El"
"162",162,"mi abuelo"
"163",163,"mama"
"164",164,"Luna"
"165",165,"amigo"
"166",166,"moneda"
"167",167,"porque"
"168",168,"amigo"
"169",169,"y el otro"
"170",170,"dinero"
"171",171,"dadega"
"172",172,"El oro"
"173",173,"amor"
"174",174,"mi moneda"
"175",175,"Perro"
"176",176,"la luna"
"177",177,"cartera"
"178",178,"la moneda"
"179",179,"solta"
"180",180,"la luna"
"181",181,"que"
"182",182,"la llanta"
"183",183,"el amigo"
"184",184,"la pelota"
"185",185,"mi dinero"
"186",186,"hermano"
"187",187,"hermano"
"188",188,"mi reloj"
"189",189,"mi casa"
"190",190,"mi papa"
"191",191,"no respondio"
"192",192,"mi casa"
"193",193,"mi abuelo"
"194",194,"la luna"
"195",195,"ese"
"196",196,"la moneda"
"197",197,"y"
"198",198,"oro"
"199",199,"cartera"
"200",200,"no"
"201",201,"La luna"
"202",202,"una canica"
"203",203,"luna"
"204",204,"luna"
"205",205,"La Perla"
"206",206,"la moneda"
"207",207,"papa"
"208",208,"moneda"
"209",209,"no "
"210",210,"Mateo"
"211",211,"canica"
"212",212,"Mike"
"213",213,"si"
"214",214,"mi alma"
"215",215,"mi papa"
"216",216,"la luna"
