,Explica pelota de gritos,a_num_topics_2,a_num_topics_5,a_num_topics_10,a_num_topics_20,a_num_topics_50,a_num_topics_100,a_num_topics_150,a_num_topics_200,a_puntaje,Explica pelota de pelos,b_num_topics_2,b_num_topics_5,b_num_topics_10,b_num_topics_20,b_num_topics_50,b_num_topics_100,b_num_topics_150,b_num_topics_200,b_puntaje,Explica pelota de plata,c_num_topics_2,c_num_topics_5,c_num_topics_10,c_num_topics_20,c_num_topics_50,c_num_topics_100,c_num_topics_150,c_num_topics_200,c_puntaje
0,por que hace mucho ruido,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,3,por que tiene melena,-0.1293134093284607,-0.0010328009957447648,-0.014509973116219044,0.0062834471464157104,6.984919309616089e-10,6.984919309616089e-10,6.984919309616089e-10,6.984919309616089e-10,3,que es dura o aguanta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,que es un hermano que grita mucho más de lo normal ,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,porque si mas que nada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,puede ser una medalla o una esfera color metálico ,0.9670541286468506,0.7645416259765625,0.7355877161026001,0.6332008838653564,0.5773555636405945,0.5773502588272095,0.5773502588272095,0.5773502588272095,1
2,que es una persona gritona,0.9880043268203735,0.4024306535720825,-0.00041572749614715576,0.007487242575734854,0.004869280382990837,2.7939677238464355e-09,2.7939677238464355e-09,2.7939677238464355e-09,3,ns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,una joya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,porque el niño grita mucho,0.9998573064804077,0.7673399448394775,0.7190070152282715,0.7108170986175537,0.7079440951347351,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que se le pegan al balón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,seria muy brillosa la pelota,0.972550630569458,-0.06921359896659851,0.01822364330291748,0.00719832070171833,2.4003908038139343e-05,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,2
4,es muy gritón,0.7229810953140259,0.49450981616973877,-0.019224025309085846,-0.0031642019748687744,-0.0015319548547267914,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,porque trata decir que es un gato y vomita y saca bolas de pelos,0.0008256956934928894,0.029258359223604202,0.0004026554524898529,0.00020892731845378876,-5.587935447692871e-09,-5.587935447692871e-09,-5.587935447692871e-09,-5.587935447692871e-09,1,da a conocer que que es uno muy fuerte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
5,que grita todo el tiempo,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que los peros tienen pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,que la pelota es de plata,0.9932894706726074,-0.02109653130173683,0.003006430808454752,-0.0019496530294418335,3.314577043056488e-05,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
6,que su hermano es un gritón,0.8991490602493286,0.279072105884552,-0.006542133167386055,0.0019199736416339874,0.000759112648665905,4.6566128730773926e-08,4.6566128730773926e-08,4.6566128730773926e-08,3,las mascotas tienen pelos,-0.020438432693481445,0.009648846462368965,0.09737776964902878,-0.00026773102581501007,1.30385160446167e-08,1.30385160446167e-08,1.30385160446167e-08,1.30385160446167e-08,3,por que la luna es de un color similar a la plata,0.7869322299957275,0.8047193288803101,0.7976510524749756,0.7038652896881104,0.6667189002037048,0.6666666269302368,0.6666666269302368,0.6666666269302368,3
7,porque su hermanito sube demasiado la voz,0.8370785713195801,0.3837601840496063,0.541239321231842,0.0012927278876304626,-0.00418727844953537,0.0,0.0,0.0,3,porque puede que su animal puede que tenga un chillido,0.48193779587745667,0.025550030171871185,0.013310108333826065,0.001446777954697609,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,3,porque es algo de plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,2
8,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,0.9384261965751648,0.707263708114624,0.6714174151420593,0.5926711559295654,0.5795875787734985,0.5773503184318542,0.5773503184318542,0.5773503184318542,3,por que una cabeza tiene pelos,-0.0016050264239311218,0.03700731694698334,0.015963450074195862,0.002608470618724823,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,1,por que la soledad es un tesoro que se debe de aprovechar y usarse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,porque tal vez su hermano grita mucho,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que se podría comparar a una pelota de pelos,0.1081915944814682,-0.0017808899283409119,-0.003841415047645569,0.0009392350912094116,0.0,0.0,0.0,0.0,3,por que el frio se puede comparar con la plata en su esplendor,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,3
10,por el grita,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,es muy peludo,0.694661557674408,-0.007570341695100069,0.026687851175665855,0.003302142024040222,0.0,0.0,0.0,0.0,3,se ha de parecer a una moneda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,que no se esta en silencio ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,porque tiene mucho cabello,-0.01214679330587387,-0.0019290377385914326,-0.006621086969971657,0.0013103559613227844,0.0,0.0,0.0,0.0,3,que hay dinero en mi cartera,0.9072439670562744,0.2714385390281677,0.29427969455718994,-0.003188292495906353,1.863297075033188e-05,6.984919309616089e-09,6.984919309616089e-09,6.984919309616089e-09,2
12,que su hermano puede gritar por que no tiene una pelota de pelos,0.912386417388916,0.057721659541130066,0.09189353883266449,0.00122012197971344,2.9364600777626038e-05,4.6566128730773926e-09,4.6566128730773926e-09,4.6566128730773926e-09,3,por que tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,por que la moneda es de plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
13,como esta pequeño da lata,0.9594327807426453,0.8332854509353638,0.16972553730010986,0.001591912005096674,0.004506097640842199,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,3,como ya esta grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,por que tiene valor y te ayuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,que es bien llorón,0.8861277103424072,-0.02738005481660366,0.2517734467983246,0.04489947110414505,-0.0002978402189910412,-1.1641532182693481e-10,-1.1641532182693481e-10,-1.1641532182693481e-10,3,por que son feos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,que son se los,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,cuando al hermano no le compran nada se pone gritar,0.9055900573730469,0.012443266808986664,0.06794765591621399,0.006842669099569321,-0.0005713626742362976,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,3,por que también trae melena de cabello,-0.013390347361564636,-0.0018416190287098289,-0.0075421202927827835,0.00021909922361373901,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,3,que vale mucho,1.0,1.0,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,3
16,que su hermano es una pelota que grita,0.9473462104797363,0.6799654364585876,0.592583954334259,0.5897959470748901,0.5820328593254089,0.5773503184318542,0.5773503184318542,0.5773503184318542,3,por que tiene la forma de una pelota y tiene cabello,0.6200551390647888,0.004307597875595093,-0.006962209939956665,-0.003907233476638794,2.2351741790771484e-08,2.2351741790771484e-08,2.2351741790771484e-08,2.2351741790771484e-08,1,que el papa podría ser una pelota muy cara por que esta hecho de plata,0.9934791326522827,-0.024817992001771927,0.004077322781085968,0.004457016475498676,5.5247917771339417e-05,3.91155481338501e-08,3.91155481338501e-08,3.91155481338501e-08,2
17,que grita mucho,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,porque tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,tiene talento como Héctor Cristian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
18,que habla mucho o grita,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que el dijo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,que la niña se la pasa llorando o haciendo berrinche ,0.711400032043457,0.7398773431777954,0.2588646709918976,0.01593274250626564,0.0004828730598092079,9.313225746154785e-10,9.313225746154785e-10,9.313225746154785e-10,3,por que ninguna parte mas que en la cabeza hay pelos ,-0.0016050264239311218,0.03700731694698334,0.015963450074195862,0.002608470618724823,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,1,es como una medalla o algo similar ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,por que grita mucho,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que tiene pelo,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,1,mi padre vale mucho por eso lo puse,0.964988112449646,0.771697461605072,0.9016145467758179,0.7365951538085938,0.7072705030441284,0.7071068286895752,0.7071068286895752,0.7071068286895752,3
21,que grita mucho,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que son nexos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,cualquier cosa puede ser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,de que su hermano grita mucho,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,porque tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,pues es una simple pelota,0.972550630569458,-0.06921359896659851,0.01822364330291748,0.00719832070171833,2.4003908038139343e-05,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1
23,por que grita,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,es brillante,0.949507474899292,0.4132192134857178,0.09255947917699814,-0.0010086297988891602,5.14984130859375e-05,-7.450580596923828e-09,-7.450580596923828e-09,-7.450580596923828e-09,2
24,por que no habla en voz baja,0.8393940329551697,0.7777436971664429,0.8996216058731079,-0.01782243698835373,-0.007147017866373062,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,por que tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,dinero,0.9072439670562744,0.2714385390281677,0.29427969455718994,-0.003188292495906353,1.863297075033188e-05,6.984919309616089e-09,6.984919309616089e-09,6.984919309616089e-09,2
25,por que grita mucho,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que tiene pelo,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,3,por que la copa de la liga mx es de plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
