"line","word"
1,"caliente"
2,NA
3,"luna"
4,"dije"
5,"mi abuela"
6,"arete"
7,"luna"
8,"abuelita"
9,"que bonito"
10,"mi trofeo"
11,"esa"
12,"luna"
13,"el bosque"
14,"oro"
15,"de fuego"
16,"luna"
17,"mama"
18,"primo"
19,"trofeo"
20,"es una"
21,"jazmin"
22,"papa"
23,"trofeo"
24,"corazon"
25,"collar"
26,"cadena"
27,"moneda"
28,"medalla"
29,"trofeo"
30,"no contesto"
31,"el"
32,"maceta"
33,"y (el tiempo)"
34,"luna"
35,"no contesto"
36,"no se"
37,"el"
38,"porque"
39,"no se"
40,"la brillantina"
41,"moneda"
42,"no se"
43,"luna"
44,"pelota"
45,"luna"
46,"luna"
47,"luna"
48,"luna"
49,"pelota plata"
50,"planta"
51,"como"
52,"??l"
53,"plata"
54,"sarten"
55,"abuela"
56,"luna"
57,"globo"
58,"mena"
59,"nino"
60,"tio"
61,"el anillo"
62,"bandeja"
63,"el metal"
64,"luna"
65,"papa"
66,"luna"
67,"papa"
68,"esfera"
69,"luna"
70,"luna"
71,"papa"
72,"amigo"
73,"el"
74,"moneda"
75,"luna"
76,"luna"
77,"papa"
78,"arbol"
79,"luna"
80,"pelota plata"
81,"luna"
82,"luna"
83,"luna"
84,"luna"
85,"luna"
86,"luna"
87,"naranja"
88,"luna"
89,"el"
90,"mama"
91,"no contesto"
92,"muy"
93,"sol"
94,"gran jaguar"
95,"no contesto"
96,"la"
97,"cuando estan feliz"
98,"pelota plata"
99,"aire"
100,"abuela"
101,"tambien"
102,"abuela"
103,"minero"
104,"la luna"
105,"tomate"
106,"la luna"
107,"luna"
108,"mama"
109,"la luna"
110,"la calceta"
111,"el es como una"
112,"balon"
113,"mi corazon"
114,"la luna"
115,"juan"
116,"luna"
117,"luna"
118,"medallita"
119,"mi hermana"
120,"papa"
121,"dorado"
122,"luna"
123,"familia"
124,"la nieve"
125,"alcancia"
126,"el mundo"
127,"tambien"
128,"mama"
129,"cualquiera"
130,"pelota"
131,"mi abuelo"
132,"el"
133,"luna"
134,"luna"
135,"pelota"
136,"trofeo"
137,"porque"
138,"la luna"
139,"luna"
140,"familia"
141,"pelotas"
142,"la luna"
143,"mama"
144,"su pulsera"
145,"pasto"
146,"la nieve"
147,"que es"
148,"nieve"
149,"medalla"
150,"luna"
151,"mama"
152,"hermana"
153,"ojos"
154,"mi luna"
155,"la tierra"
156,"mi espada"
157,"luna"
158,"la luna"
159,"la mente"
160,"el"
161,"la luna"
162,"hierro"
163,"hierro"
164,"ella"
165,"amiga"
166,"luna"
167,"el plateado"
168,"el"
169,"no contesto"
170,"la moneda"
171,"no contesto"
172,"dolor"
173,"tia"
174,"bondad"
175,"dinero"
176,"una amiga"
177,"abuela"
178,"hermana"
179,"luna"
180,"el anillo"
181,"que"
182,"papa"
183,"y la luna"
184,"amigo"
185,"que es"
186,"y"
187,"esta"
188,"mi hermana"
189,"la estatua"
190,"esta"
191,"la novia"
192,"hermana"
193,"porque"
194,"amigo"
195,"familia"
196,"el televisor"
197,"boton"
198,"mi amiga"
199,"mi deporte"
200,"la moneda"
201,"tio"
202,"lupita"
203,"papa"
204,"la bala"
205,"pinpon"
206,"luna"
207,"luna"
208,"eso"
209,"luna"
210,"la luna"
211,"en un anillo"
212,"eso"
