ta1,ta2,ta3,ta4,ta5,ta6,ta7
Una fruga,caliente,Mi mama,"Si, porque es una cancion que se va formando",Que su hermano es griton,una pelota y otra pelota porque es la pelota con doble pelota,"es una pelota color plata,"
NA,NA,NA,NA,NA,NA,NA
Sol,Luna,Mi perro,"No, porque casi no se le entiende que quiere decir",Que su hermano es griton,"su perro, porque tiene pelos",puede ser algo de plata como la luna que es algo de plata
Balon,Dije,Mi perro,"No, porque una pelota no canta",Que su hermano es griton,"un gato, porque tiene pelos",que es un dije de plata
Abuelo,Mi abuela,Mi primo,"si, porque rima poquito y habla sobre la familia",Porque grita mucho,que se le sueltan los pelos,"que es como si tu abuela o tu amigo, etc. no se despegara de ti."
encendedor,arete,Mi hermano,"No, no rima y no tiene sentido de las palabras",No se,una pelota de gatos,una pelota con brillos
sol,luna,perro,"Si, porque se entiende que alguien de tu familia canta",porque cuando quiere algo y no se lo das empieza a llorar y gritar,"un perro, porque tiene pelos",Seria la luna porque brilla como la plata
Abuelo,Abuelita,Papa,"No, no tiene sentido",Que su hermano es griton,"un leon, porque tiene mucho pelo",una pelota gris o que vale algo
Muy chida,Que bonito,Muy feo,"Si,todos tienen su chiste",Que su hermano es griton,Algo extrano.,Que se veia algo extraordinario
Yeimi,Mi trofeo,Mi cabeza,"No, porque no se escucha bien",Su hermano es un nino muy griton,Un maniqui con una peluca,Una pelota tiene un dibujo de planta
Tiene unas,Esa,Hermano,"Si, porque luego las pelotas van en sentido contrario.",Porque grita mucho,Porque la pelota es de pelos.,Porque es una pelota de plata
Sol,Luna,perro,"Si,su mama canta",Que su hermano es griton,Otro gato.,"Luna, porque es redonda y tiene color de plata"
Balon,El bosque,La pelota,"Si,porque su palabra significa algo",Que su hermano es griton,Tennis porque es un tipo de pelota que tiene pelitos,Trofeo o pelota bonita.
Sol,Oro,Coco,"Si,poema",Que su hermano es griton,Una cosa tiene pelo,Que puede ser una pelota de pelos y aparte oro.
es una pelota,De fuego,Pelota de pelos,"Si, porque luego las pelotas van en sentido contrario.",Que es una pelota de gritos,Que se puede peinar,Sin respuesta.
Amanecer,luna,cabeza,"Si, porque a su mama le gusta cantar",Que su hermano es griton ,"el trapeador, porque tiene pelos",Sin respuesta.
Senor,Mama,perro,"si, porque mi mama canta",que su hermano es griton*,mi gato,que mi familia vale mucho
Papa,primo,mama,"si, porque se explica lo que dice",Es una pelota muy gritos,Que la pelota tiene pelos,es una pelota de plata
perro,trofeo,gato,"si, porque rima",que su hermano es griton*,"mi cabeza, porque tengo mucho cabello",un trofeo
asnigo,es una,mama,"No, porque una pelota no canta*",no? ? ,porque no,si
Jacinto,Jazmin,papa,"no, es poema y no es cancion",que su hermano es griton*,que es muy peludo,"que vale mucho, porque la plata vale mucho"
perro,papa,hermana,"si, porque describe una cosa o una persona",que su hermano es griton*,"perro, porque tienen pelos",que brilla mucho en la familia
enojo,trofeo,perro,"si, porque se oye bonito",Que su hermano es griton,mi cabeza ,que un trofeo es de plata
amor,corazon,amigo,"si, porque mi mama canta",Que su hermano es griton,tal vez su amigo es muy importante,que vale demasiado como oro
dragon,collar,perro,"si, porque esta en sentido figurado pelota que canta es como alguien que canta",que su hermano es griton*,"cabeza, es redonda y con cabello",un collar puede ser de plata
sol,cadena,perro,"No, porque una pelota no canta",que su hermano es griton*,"perro, es un animal peludo",algo muy bonito
sol,moneda,cabeza,"no porque las pelotas no cantan, pero puede que estuviera hablando en sentido figurado, seria una cara cantando.",que su hermano es griton*,trapeador,moneda circular y plateada
volcan,medalla,perro,"no, porque es tonta",que su hermano es griton*,gato,una medalla de plata
enojo,trofeo,perro,"si, porque algunas mamas cantan",que su hermano es griton*,"cabeza, tiene mucho cabello",un trofeo es de plata
volcan,no contesto,perro,"No,porque no cantan",que su hermano es griton*,gato porque son peluditos,no se
Porque,El,perro,"No, porque una pelota no canta",que su hermano es griton*,no se,no se
sol,Maceta,Tia,"No, no tiene sentido",que su hermano es griton*,Alguien bueno,La maceta es la que sostiene a la planta
Tiempo,Y (el tiempo),mama,"Si, rima con no puedo contarlas",que su hermano es griton*,Un perro con pelos porque tiene mucho pelo,no se
Sol,Luna,Mundo,"Si,cada vez que rebota",que su hermano es griton*,Un perro con pelos,Muchas hojas
Senor,no contesto,Hermanito,"Si, porque el poema trata de pelota",Que mi hermanito tiene una pelota de gritos,porque una pelota de pelos la puede tener todos,Que es una pelota de plata
Sol,no se,Cabeza,"Si, porque rima con el poema",que su hermano es griton*,gato porque es peludo,no se
Pelota,El,papa,"No, las pelotas no cantan",que su hermano es griton*,Una persona porque suena como una persona,pelota para jugar
nino,porque,Perro,"Si, porque puede ser en mi imaginacion","Un hermanito chiquito es un bebe que llora por comida, leche o que le cambien el panal.",conejo porque es peludo y lindo,Una pelota de plata es algo pesado
Sol,no se,cabeza,"No, ninguna pelota habla",Su hermano grita mucho,no se,un pelota muy brillante
Horno,la brillantina,cepillo,"Si, porque a su mama le gusta cantar",los ninos pequenos gritan mucho *,"Mi cabeza es una pelota de pelos porque es, asi :)","Yo escribi: ""la brillantina es una pelota de plata"""
sol,Moneda,Cabeza,"Si, porque es como si digieran el",que grita mucho,gato porque es peludo *,significa una moneda porque es redonda
no se,no se,no se,"No, porque no la conteste",Su hermano grita mucho *,no se,no se
