"","word","n"
"1","luna",39
"2","la luna",9
"3","papa",8
"4","el",7
"5","mama",6
"6","no contesto",6
"7","abuela",4
"8","trofeo",4
"9","amigo",3
"10","familia",3
"11","hermana",3
"12","moneda",3
"13","no se",3
"14","pelota",3
"15","pelota plata",3
"16","porque",3
"17","el anillo",2
"18","eso",2
"19","esta",2
"20","hierro",2
"21","la moneda",2
"22","la nieve",2
"23","medalla",2
"24","mi hermana",2
"25","que es",2
"26","tambien",2
"27","tio",2
"28","abuelita",1
"29","aire",1
"30","alcancia",1
"31","amiga",1
"32","arbol",1
"33","arete",1
"34","balon",1
"35","bandeja",1
"36","bondad",1
"37","boton",1
"38","cadena",1
"39","caliente",1
"40","collar",1
"41","como",1
"42","corazon",1
"43","cualquiera",1
"44","cuando estan feliz",1
"45","de fuego",1
"46","dije",1
"47","dinero",1
"48","dolor",1
"49","dorado",1
"50","el bosque",1
"51","el es como una",1
"52","ella",1
"53","el metal",1
"54","el mundo",1
"55","el plateado",1
"56","el televisor",1
"57","en un anillo",1
"58","esa",1
"59","esfera",1
"60","es una",1
"61","globo",1
"62","gran jaguar",1
"63","jazmin",1
"64","juan",1
"65","??l",1
"66","la",1
"67","la bala",1
"68","la brillantina",1
"69","la calceta",1
"70","la estatua",1
"71","la mente",1
"72","la novia",1
"73","la tierra",1
"74","lupita",1
"75","maceta",1
"76","medallita",1
"77","mena",1
"78","mi abuela",1
"79","mi abuelo",1
"80","mi amiga",1
"81","mi corazon",1
"82","mi deporte",1
"83","mi espada",1
"84","mi luna",1
"85","minero",1
"86","mi trofeo",1
"87","muy",1
"88","naranja",1
"89","nieve",1
"90","nino",1
"91","ojos",1
"92","oro",1
"93","pasto",1
"94","pelotas",1
"95","pinpon",1
"96","planta",1
"97","plata",1
"98","primo",1
"99","que",1
"100","que bonito",1
"101","sarten",1
"102","sol",1
"103","su pulsera",1
"104","tia",1
"105","tomate",1
"106","una amiga",1
"107","y",1
"108","y (el tiempo)",1
"109","y la luna",1
"110",NA,1
