,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
0,no por que no se le entienden,por que hace mucho ruido,un le�n,que es dura o aguanta,que esta enredado,duros,tierna,triste,fue de d�a,que te va ir mejor,un adorno,por que la puedes utilizar,cubrirte,por que se puede ocupar,que es dulce,por que no se puede ocupar,un monumento,por que la pueden ocupar para representar a alguien,que es dura,por que aguanta,que no te puede abrigar,por que la ocupan para pasar,que alguien la trajo,por que no se mueven solas,que hacen ejercicio,por que si,que tienes tiempo,por que si hay tiempo
1,si porque es una met�fora que se refiera a alguien cantando,que es un hermano que grita mucho m�s de lo normal ,una cabeza un cepillo algo redondo con pelos alambre o algo que sobre salga con textura a pelos ,puede ser una medalla o una esfera color met�lico ,cabello maltratado,son dientes blancos ,una hermana rica  okay no es una hermana tierna amable etc,una sonrisa muy fr�a u okay no es una sonrisa fingida,se quedo se fue y ahora amaneci�,que despu�s de la tormenta viene la calma o sea que mejorara la situaci�n,que las estrellas son tan pero tan brillantes que parecen de cristal,no  porque las estrellas est�n a millones de kil�metros y son esferas de gas que se van consumiendo asta explotar y convertirse en ya sea una estrella de protones o una s�per nova,que el vestido es de un material de seda o tela ,porque existen y estamos vestidos con ellos,que los zapatos son de color parecido a la miel,porque sino se convertir�an en liquido los pies,que es de piedra,porque las estatuas del siglo xix mejor dicho en su mayor�a son y fueron hechas en piedra,que es un alma temple que nada la puede destruir ya que luchara con valor por su familia y seres queridos,porque el alma es algo intangible y el acero es algo tangible,que la banqueta es caliente o te cubre,porque sino seria una cobija frazada,que ya la trajeron,porque los que la empacan la llevan asta su destino,que cumplen su cometido,si porque los atletas corren  ,que el tiempo te espera,porque el tiempo no espera a nadie
2,0,que es una persona gritona,esta echa o esta de pelos de una que esta muy bien,una joya,de zacate,dientes de perlas,dulce,de hielo,quedo atr�s,habr� �pocas que ser�n mejores que ahora,0,por que brillan y se podr�a decir que son de cristal,vestidos que est�n hechos de tela,por que los hacen con tela,zapatos que est�n hechos de miel,no no se pueden hacer zapatos de miel,alguna figura que esta hecha de piedra,por si existe,que es fuerte,no puede existir,0,0,la silla lego o la trajeron,por que si se pueden trasladar sillas pero las sillas no se mueven solas,hacen su trabajo,a eso se dedican,de que te alcanza el tiempo para hacer varias cosas,por que hay gente que dice esas cosas
3,por que no puede haber pelotas que cantan,porque el ni�o grita mucho,podr�a ser un bal�n con muchos pelos,seria muy brillosa la pelota,muy rasposo,son como cuadrados,es muy cari�osa,es muy linda,paso otro d�a,que vendr�n mejores tiempos para ellos,no pueden existir las estrellas de cristal no es posible,nadie las invento,que si existen los vestidos de telas,por que los pueden hacer,no pueden existir,nadie lo ha hecho,que es posible hacerlas,por que las podemos hacer nosotros,no existe la alma de hierro,no es posible hacer una alma de hierro,que las pueden hacer,estar�a bien hacer eso,no puede llegar una silla sola,no se puede hacer eso,que lo pueden hacer los atletas,por que los atletas corren,no puede ser,el tiempo no alcanza
4,porque da a explicar lo que es y como y explican las cosas de lo que es,es muy grit�n,un gato,da a conocer que que es uno muy fuerte,de Zacatecas,de perla,dulce,congelada,oscureci�,que deja los mas valioso que tienes todo va y viene,porque es de un material que es posible de encontrar,es material f�cil de encontrar,porque es tela,si se puede hacer f�cilmente,que si se podr�a hacer zapatos de miel,no porque la miel no es material duro,tatuar a alguien en una escultura,si porque es piedra y no se rompe al tacto,coraz�n fuerte,no porque todos somos sensibles,que nos cubra des frio,no porque no se puede hacer  una banca cubre frio,que la banca camina,no porque no tiene alma,que si podemos correr,si somos atletas,el tiempo es oro,si cada minuto vale
5,por que su mama es gorda,que grita todo el tiempo,un pero gordo,que la pelota es de plata,alborotado,brillantes,dulce,una sonrisa fr�a,nada solo amaneci�,te ira mejor en un futuro,que brillan,porque las estrellas tienen luz propia y se compone por otros materiales,que est�n vestidos con tela,por que con eso se viste la gente,ni idea,porque la miel es liquida,que esta echa de piedra,por que es un material que se usa para eso entre otros materiales,que es dif�cil herir sus sentimientos,por que nadie puede tener el alma de hierro,ni la m�s remota idea,por que una banqueta no abriga,que ya hay espacio para sentarse,por que las sillas no se mueven a menos que hayan sido pose�das,que los atletas est�n corriendo,porque todo el mundo puede correr,que te alcanza el tiempo para hacer algo,porque el tiempo como tal no puede alcanzar nada
6,es una met�fora,que su hermano es un grit�n,un gato un h�mster etc,por que la luna es de un color similar a la plata,muy descuidado,bonitos y brillantes,de buen car�cter y amable,muy fija y sin sentimientos,la noche ya paso y no s� puede hacer nada,que estos tiempos son malos,que son bellas,porque las estrellas son masas gravitatorias las cuales con hidr�geno hacen elementos mas pesados tales como helio oxigeno arg�n los cuales generan luz como resultado secundario,que esta hecho de tela,porque es factible,que son de color miel,no porque la miel es un liquido,que el material de composici�n es piedra,es factible ya que los humanos tallamos piedra desde la edad de piedra,que el es muy resistente a tentaci�n y otras cosas,porque un alma no es de hierro es de energ�a,que la banqueta es bonita,que la banqueta es tan bonita que es agradable,que alguien llevo una silla a ese lugar,si es posible que alguien haya llevado la silla,porque los deportistas es lo que hacen,todos corremos y eso es a lo que se dedican los atletas,que e tiempo es suficiente para una acci�n,porque el tiempo se puede medir
7,si porque es una met�fora hacia su hermano,porque su hermanito sube demasiado la voz,un animal que a lo mejor tengan un animal,porque es algo de plata,es un cabello que luego se te enreda y te queda como zacate,son dientes blancos finos,es una ternura,sonrisa muy fr�a,como el pasado es pasado,que si tienes un problema y se solucionara y mas despu�s vendr�n tiempos mejores tiempo de felicidad,porque no creo que exista o haya una estrella de cristal,porque no creo que haya un estrella as�,porque la tela es como un tipo de vestir,es un tipo de vestimenta,que un zapato es como miel dulce,porque no existen,es una arte,porque es una arte que una personas podr�an hacer,tienen un alma muy dura,pues su alma puede ser dura,pues que una banqueta te abrigue no hay,porque no hay cosas as�,que te trajeron una silla para sentarte,te vieron que estabas parado y te la trajeron para sentarte,corren para ganar una competencia,porque eso si es posible que haya una competencia,que el tiempo es muy corto,porque luego estas muy apurado y el tiempo se va muy r�pido
8,por que hay pelotas que producen sonidos con cierta afinaci�n podr�a tocarse una hermosa melod�a,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,una cabeza,por que la soledad es un tesoro que se debe de aprovechar y usarse,el cabello es de diferentes formas lacio chino crespo suave etc,que son blancos como unas perlas,que la hermana es amistosa y alegre,que es una sonrisa sin sentimientos una persona hip�crita,que la noche ya paso al pasado por que sigue un nuevo d�a,que si el tiempo o la condici�n esta mal pronto mejorara,que las estrellas son tan fr�giles y hermosas como un cristal,si es posible debido a la fragilidad de estos objetos,que la ropa es de tela,es posible debido a que la tela tiene una propiedad calor�fica y es liviana,que con la miel hacen zapatos,no por que seria imposible usar la miel como para hacer un calzado,que una estatua es de piedra,es posible debido a que se talla la toca hasta darle una forma,que una persona es muy cruel,si por que hay gente muy cruel como Hitler que tenia un alma de hierro era muy cruel,que una banqueta sirve para que un mendigo se abrigue en ella,si es posible debido a que hay gente que duermen en ellas,que trajeron una silla,es posible por que se puede encargar una silla y alguien decirte que tu silla ya llego,que los deportistas corren,es posible por que un jugador de f�tbol no camina si no corre por el bal�n,que una persona tarde o temprano se vera vieja,si por que al pasar el tiempo envejecemos
9,porque el poema te esta hablando en sentido literario y esta frase no concuerda con el poema,porque tal vez su hermano grita mucho,un perro,por que el frio se puede comparar con la plata en su esplendor,pues seria rasposo esponjoso y f�cil de distinguir,brillantes,dulce cari�osa,fr�a,la noche ya paso y se quedo atr�s,que esta pasando por un duro momento y al pasar sera mejor,porque una estrella se puede convertir en cristal con el paso del tiempo,porque esto puede suceder con el paso del tiempo,que un vestido se puede hacer de tela,la tela es un material con el que se pueden fabricar vestidos,que si unos zapatos se pueden fabricar de miel,la miel es un material comestible y no durar�a como otro material,que si una escultura se puede fabricar de piedra,por que artistas de este genero pueden trabajar con este material,cient�ficamente no pero literario si,por que una persona puede ser inquebrantable,una banqueta no puede abrigarte,por que no se pueden mover,que la silla llego,no se puede mover,que un atleta corre,por puede moverse por si solo,que el tiempo te alcanza,por que te puede alcanzar para hacer cosas
