,Explica pelota de gritos,a_num_topics_2,a_num_topics_5,a_num_topics_10,a_num_topics_20,a_num_topics_50,a_num_topics_100,a_num_topics_150,a_num_topics_200,a_puntaje,Explica pelota de pelos,b_num_topics_2,b_num_topics_5,b_num_topics_10,b_num_topics_20,b_num_topics_50,b_num_topics_100,b_num_topics_150,b_num_topics_200,b_puntaje,Explica pelota de plata,c_num_topics_2,c_num_topics_5,c_num_topics_10,c_num_topics_20,c_num_topics_50,c_num_topics_100,c_num_topics_150,c_num_topics_200,c_puntaje
0,por que hace mucho ruido,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,por que tiene melena,0.8024258613586426,-0.09699809551239014,0.01034095510840416,0.028688877820968628,0.004797257483005524,2.9103830456733704e-10,2.9103830456733704e-10,2.9103830456733704e-10,3,que es dura o aguanta,0.9991987943649292,-0.1547205001115799,-0.2134248912334442,-0.09735473245382309,0.0015610754489898682,2.2113323211669922e-05,9.313225746154785e-10,9.313225746154785e-10,1
1,que es un hermano que grita mucho más de lo normal ,0.8792247772216797,0.7222405076026917,0.7112906575202942,0.7097383737564087,0.7078852653503418,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,porque si mas que nada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,puede ser una medalla o una esfera color metálico ,0.9829267263412476,0.7330950498580933,0.7345439195632935,0.6516479253768921,0.3911776840686798,0.333648145198822,0.3333333134651184,0.3333333134651184,1
2,que es una persona gritona,0.9394989609718323,0.44465842843055725,-0.002068278379738331,-0.004309497773647308,0.00661526620388031,0.0,0.0,0.0,3,ns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,una joya,0.9964285492897034,0.11877395212650299,-0.07927119731903076,0.010109342634677887,0.002751009538769722,0.007674945518374443,4.656612873077393e-10,4.656612873077393e-10,1
3,porque el niño grita mucho,0.9999659657478333,0.7509521842002869,0.7154155969619751,0.7104105949401855,0.708415150642395,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que se le pegan al balón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,seria muy brillosa la pelota,0.9056713581085205,0.09244031459093094,-0.02473781257867813,-0.0036350712180137634,-0.0019910745322704315,-0.00016376003623008728,1.30385160446167e-08,1.30385160446167e-08,2
4,es muy gritón,0.8162044882774353,0.6961987614631653,-0.018814265727996826,0.016622580587863922,-0.00028957054018974304,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,porque trata decir que es un gato y vomita y saca bolas de pelos,0.012825693935155869,0.051297351717948914,0.015965977683663368,0.026713553816080093,0.004213295876979828,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,1,da a conocer que que es uno muy fuerte,0.9147727489471436,0.22674135863780975,0.6829504370689392,0.019615061581134796,-0.0025001056492328644,0.0015344694256782532,0.0,0.0,3
5,que grita todo el tiempo,1.0,0.9999998807907104,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,3,por que los peros tienen pelos,-0.02488129585981369,0.007152313366532326,0.014267129823565483,0.026798000559210777,0.0012745857238769531,0.0,0.0,0.0,3,que la pelota es de plata,0.8638075590133667,0.03546948730945587,0.0012078247964382172,0.0005299486219882965,0.0004939623177051544,0.00010121427476406097,-3.725290298461914e-09,-3.725290298461914e-09,1
6,que su hermano es un gritón,0.950161337852478,0.3824099898338318,-0.0073713441379368305,0.0008311495184898376,0.0003690943121910095,0.0,0.0,0.0,3,las mascotas tienen pelos,-0.012772366404533386,0.02032567746937275,0.03192702680826187,0.008156154304742813,0.0031182095408439636,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,por que la luna es de un color similar a la plata,0.8258481025695801,0.7987411618232727,0.8010969758033752,0.7948692440986633,0.6895084381103516,0.5780876874923706,0.5773502588272095,0.5773502588272095,3
7,porque su hermanito sube demasiado la voz,0.8543223142623901,0.39588773250579834,0.3994016647338867,0.001244962215423584,-0.007301360368728638,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,porque puede que su animal puede que tenga un chillido,0.5280078649520874,0.013724837452173233,0.001033211126923561,0.0006723236292600632,0.009327098727226257,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,3,porque es algo de plata,0.8379087448120117,0.010765407234430313,0.025218753144145012,0.0030288156121969223,0.0010357853025197983,0.00031906552612781525,-3.725290298461914e-09,-3.725290298461914e-09,2
8,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,0.8889319896697998,0.7045504450798035,0.6666653752326965,0.5712342858314514,0.544499933719635,0.5,0.5,0.5,3,por que una cabeza tiene pelos,-0.013729095458984375,0.01731422170996666,0.01725231483578682,0.0022293291985988617,0.0010236576199531555,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,1,por que la soledad es un tesoro que se debe de aprovechar y usarse,0.75499427318573,0.22307048738002777,0.14678339660167694,-0.010964980348944664,0.0,0.0,0.0,0.0,3
9,porque tal vez su hermano grita mucho,0.8792247772216797,0.7222405076026917,0.7112906575202942,0.7097383737564087,0.7078852653503418,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que se podría comparar a una pelota de pelos,0.13623961806297302,0.0001253187656402588,0.000495031476020813,0.0037803053855895996,0.00022602826356887817,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,3,por que el frio se puede comparar con la plata en su esplendor,0.8382477760314941,0.007929366081953049,0.025285815820097923,0.0033860690891742706,0.0005243886262178421,-0.00027399323880672455,1.862645149230957e-09,1.862645149230957e-09,3
