,que mi hermanito grita mucho,Preprocesado,2dim,5dim,10dim,20dim,50dim,eval_og
0,si. porque canta,[],0.0,0.0,0.0,0.0,0.0,2
1,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
2,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
3,que mi hermano habla y llora mucho,"['hermano', 'llora']",0.0041358173,-0.024165545,-0.0066902637,-0.00045900792,-0.0001032576,3
4,porque es muy travieso o llora mucho,"['travieso', 'llora']",0.9209119,0.91910756,-0.009795409,-0.0022366866,-9.422749e-05,3
5,sus hemanos gritan mucho,"['hemanos', 'gritan']",-0.47047094,-0.10315436,-0.015784612,-0.00374648,0.0012834393,3
6,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
7,porque algunos gritamos cuando queremos,[],0.0,0.0,0.0,0.0,0.0,2
8,es muy irritante y llora mucho,['llora'],0.97476524,0.941955,-0.0073089525,-0.00056780875,-0.00010532141,3
9,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
10,mi hermano es un griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
11,mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
12,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
13,su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
14,que grita mucho y no para de reir,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
15,que su hermano es chillon,"['hermano', 'chillon']",-0.041525424,-0.073130935,0.0045102015,0.0074707866,0.0015523881,3
16,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
17,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
18,lenguaje literal,[],0.0,0.0,0.0,0.0,0.0,2
19,que mi hermano esta gritando,"['hermano', 'gritando']",-0.08828074,0.0218627,-0.0034275018,-0.00031972304,-0.0004497692,3
20,que es griton,['griton'],-0.5156076,0.17928916,0.0038363338,0.0002259016,0.00012883544,3
21,mi hermano es una pelota que grita mucho,"['hermano', 'pelota', 'grita']",0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,3
22,porque cuando no le dan algo se enoja y empieza a gritar,"['empieza', 'gritar']",-0.47728553,0.069842845,0.0004276745,-0.0016288366,-0.00095854886,3
23,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
24,mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
25,0,[],0.0,0.0,0.0,0.0,0.0,0
26,es como cuando grita mucho muy fuerte,"['grita', 'fuerte']",0.9955339,0.81271434,0.70530456,0.699852,0.5230107,3
27,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
28,no grita porque no es como su hermano,"['grita', 'hermano']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,1
29,que se asusta siempre o es muy enojona y grita mucho de furia,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
30,es lloron y es pelota de gritos,"['lloron', 'pelota', 'gritos']",0.37198728,0.046005696,0.017324783,0.0021418333,0.00032073632,3
31,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
32,mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
33,que bota,['bota'],0.44887322,-0.040328406,-0.018899981,0.02335608,0.006942791,1
34,que su hermano siempre esta gritando,"['hermano', 'gritando']",-0.08828074,0.0218627,-0.0034275018,-0.00031972304,-0.0004497692,3
35,porque grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
36,que es aburrido,[],0.0,0.0,0.0,0.0,0.0,1
37,que su hermano siempre o la mayoria de veces grita o llora,"['hermano', 'mayoria', 'grita', 'llora']",0.6751732,0.53623796,0.40186307,0.40225986,0.39623824,3
38,porque su hermanito es pequeno y grita por eso,"['hermanito', 'pequeno', 'grita']",0.9999893,0.99985445,0.9970799,0.8556826,0.8217512,3
39,cuando un hermanito grita porque quiere algo,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
40,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,1
41,si. porque siempre chilla,['chilla'],0.46122682,0.037388176,0.15310349,-0.0016600164,7.445924e-07,3
42,que esta gritando todo el dia,['gritando'],-0.51134896,0.14512928,-0.0028032623,-0.00037791952,-0.00059756637,3
43,porque las hermanas por todo se enojan,[],0.0,0.0,0.0,0.0,0.0,3
