"","word","n"
"1","no, porque las pelotas no cantan*",43
"2","no, porque las pelotas no cantan",7
"3","no, porque las pelotas no hablan*",6
"4","no, porque las pelotas no hablan",5
"5","si, es una persona que canta",4
"6","si, porque a su mama le gusta cantar",4
"7","no, no tiene sentido",3
"8","no, porque una pelota no canta",3
"9","si, porque rima",3
"10","no entiendo",2
"11","no porque las pelotas no cantan*",2
"12","no, porque las pelotas no tienen boca",2
"13","no,porque no cantan",2
"14","no, porque no rima",2
"15","no, porque no tiene sentido",2
"16","si, porque luego las pelotas van en sentido contrario.",2
"17","si, porque mi mama canta",2
"18","si, porque rima con el poema",2
"19","si,porque tiene sentido",2
"20","no, es poema y no es cancion",1
"21","no hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran",1
"22","no, las pelotas no cantan",1
"23","no, las pelotas no tienen boca",1
"24","no, ninguna pelota habla",1
"25","no, no rima y no tiene sentido de las palabras",1
"26","no, porque casi no rima",1
"27","no, porque casi no se le entiende que quiere decir",1
"28","no, porque ?como una pelota canta?",1
"29","no, porque el sentimiento es de alegria",1
"30","no, porque es imposible que una pelota cante, aunque metaforicamente si",1
"31","no, porque es obvio que ninguna ""pelota canta""",1
"32","no, porque eso no existe",1
"33","no, porque esta como insultando a las personas",1
"34","no,porque esta en sentido figurado",1
"35","no, porque es tonta",1
"36","no, porque es una expresion, yo creo que quiso decir """,1
"37","no, porque es una frase que no existe y ademas es la frase ""pelota que canta"" no existe",1
"38","no, porque es una pelota cualquiera",1
"39","no, porque las pelotas ni se mueven ni cantan",1
"40","no, porque las pelotas no cantan, esto se significa que esta hablando en sentido figurado",1
"41","no, porque las pelotas no cantan (es una metafora)",1
"42","no porque las pelotas no cantan, pero puede que estuviera hablando en sentido figurado, seria una cara cantando.",1
"43","no, porque las pelotas no cantan, son para jugar",1
"44","no, porque las pelotas no cantan y la frase esta en sentido figurado",1
"45","no porque las pelotas no hablan",1
"46","no, porque las pelotas no pueden cantar porque no tienen boca*",1
"47","no,porque mi mama puede cantar, pero no todo el tiempo",1
"48","no, porque ninguna pelota habla, menos que canta",1
"49","no, porque no es redonda",1
"50","no, porque no es una pelota que canta, sino una pelota cualquiera",1
"51","no, porque no existe",1
"52","no,porque no existen",1
"53","no, porque no la conteste",1
"54","no, porque no lo entiendo",1
"55","no, porque no se escucha bien",1
"56","no, porque no se le entiende a la frase pelota",1
"57","no, porque no suena logico",1
"58","no, porque no tiene sentido alguno",1
"59","no,porque no todo es una pelota",1
"60","no, porque su mama es un ser vivo y no un material",1
"61","no, porque una pelota no canta*",1
"62","no, porque una pelota no canta ni habla, no tiene vida",1
"63","no, porque yo digo que no",1
"64","si,cada vez que rebota",1
"65","si, cuando nuestra mama nos regana nos grita, o tambien cuando no la obedecemos",1
"66","si, mi mama canta",1
"67","si,poema",1
"68","si, porque algunas mamas cantan",1
"69","si, porque asi se demuestran las mamas cuando estan contentas o felices",1
"70","si, porque a su mama le gusta cantar*",1
"71","si, porque cada vez que rebota su mama quiere cantar",1
"72","si, porque canta la pelota cuando rebota",1
"73","si, porque compara a su familia",1
"74","si, porque cuando la rebotas suena",1
"75","si, porque describe una cosa o una persona",1
"76","si, porque dice en la cancion que toda tu familia parece pelotas",1
"77","si, porque dice que su mama es una pelota que canta, o sea que es muy alegre y feliz",1
"78","si, porque el poema trata de pelota",1
"79","si, porque es como si digieran el",1
"80","si, porque es fuego, plata y pelos..rima como pelota",1
"81","si, porque es mama que canta",1
"82","si, porque esta en sentido figurado pelota que canta es como alguien que canta",1
"83","si, porque es una cancion que se va formando",1
"84","si, porque es una persona gordita que canta",1
"85","si, porque es un poema",1
"86","si, porque es un poema y tiene palabras mezcladas con otras frases",1
"87","si, porque habla sobre su mama",1
"88","si, porque indica que a la mama le gusta cantar",1
"89","si,porque la mama canta",1
"90","si, porque la mama puede cantar",1
"91","si, porque la pelota cada que rebota suena",1
"92","si, porque la pelota puede cantar",1
"93","si, porque la persona es una pelota que canta",1
"94","si, porque la persona es una pelota que canta mucho",1
"95","si, porque puede ser en mi imaginacion",1
"96","si, porque puedes jugar con ella",1
"97","si,porque rebota",1
"98","si,porque rima",1
"99","si, porque rima poquito y habla sobre la familia",1
"100","si, porque rima y ademas es un poema",1
"101","si, porque se entiende que alguien de tu familia canta",1
"102","si,porque se escucha bien y aparte si no tuviera sentido no la escuchariamos",1
"103","si, porque se explica lo que dice",1
"104","si, porque se oye bonito",1
"105","si, porque se refiere a alguien que canta",1
"106","si, porque significa que su mama canta mucho",1
"107","si, porque son hermosas",1
"108","si, porque suena a pelota",1
"109","si, porque su mama canta",1
"110","si, porque su mama canta mucho y la describio como una pelota",1
"111","si, porque su mama canta y la pelota tambien",1
"112","si,porque su palabra significa algo",1
"113","si, porque tenia varios ejemplos",1
"114","si, porque terminan con ta",1
"115","si, porque tiene sentido entre la pelota y lo demas",1
"116","si, porque todas las pelotas hacen lo que quieren",1
"117","si, porque todas las personas las conocen por su redondez",1
"118","si,porque todos los conocemos",1
"119","si, porque tu mama canta bonito",1
"120","si, porque una mama puede cantar con una pelota",1
"121","si, porque una pelota puede ser muchas cosas hasta una cabeza",1
"122","si, puede imaginar una pelota que canta",1
"123","si, rima con no puedo contarlas",1
"124","si, significa que su mama canta",1
"125","si,su mama canta",1
"126","si, te demuestra que caracteres tiene tu familia",1
"127","si,tienen sentido",1
"128","si, tiene significado, creo que habla de la garganta o el chillido de una pelota",1
"129","si, todo rima",1
"130","si, todos cantan",1
"131","si,todos tienen su chiste",1
"132","yo no entiendo que significa esta frase",1
"133",NA,1
