ta1,ta2,ta3,ta4,ta5,ta6,ta7
El que madruga,Mucho Dinero,Mi pelo,porque es alegre,"Si, porque canta",una bola llena de pelos,"muchos, pero"
Abuelo,Mi vecino,Mi abuela,"No, porque las pelotas no cantan",que su hermano grita mucho,"Mi vecina porque, que se?","Es una pelota secreta, porque que se?"
fudon,veredo,pelos,"Si, pelota la que le platico",no se,Que es una pelota,Porque...
meteoro,Mi estomago ,Mi cabeza,"No, porque no existe una pelota que canta",que mi hermano habla y llora mucho,"mi cabello, porque cuando te peinas te puedes hacer chinos","el estomago, porque es un poquito duro"
Nino,La nina,Mi papa,"No, porque una pelota no puede hablar.",porque es muy travieso o llora mucho,se le cae el pelo o porque tiene mucho pelo,Que se porta muy bien
Meteoro ,Metal,Gato,"No, porque las pelotas no cantan",Sus hemanos gritan mucho,"un oso, un lobo son animales que necesitan su pelo para cubrirse.",Las plantas
Sol,Moneda,Perro,"No,porque no hablan",que su hermano grita mucho,Un gato porque tiene muchos pelos.,Una moneda porque es muy brillante
Senor,Que,Papa,"Si,es una metafora",Porque algunos gritamos cuando queremos,Una cabeza con muchos pelos,Un balon
Balon,Hermana ,Gato,"Si, porque te diviertes jugando con ella.",Es muy irritante y llora mucho,Los perros y la cabeza,Cuando algo es bonito
Sol,Luna,Cabeza,"Si,es algo que nos gusta y se puede decir asi",que su hermano grita mucho,Perro tiene pelos,Luna porque es de color plateado.
Vecino de pelo rojo,tu sonrisa,Perro,"No, porque en realidad es una metafora y las metaforas son mentira",Mi hermano es un griton*,El cabello desordenado,Porque cuando alguien sonrie su sonrisa brilla tanto y por eso le puse eso.
Cualquiera,Hermanito,Mama,"si, porque se inspira",Mi hermano grita mucho,Tiene muchos pelos,Que es una pelota de plata.
Sol,la luna,gato,"No, porque me gusta mucho la frase",No lo se,Un perro,la luna
Papel ,la Paja,Pelota,Si.,Su hermano grita mucho,Su papa es de pelos,Es paja y la puedes hacer bola y puedes jugar con ella a patearla
Sol,El,gato,"si, es algo significativo o algo",que grita mucho y no para de reir,"perro, porque es muy peludo",que es muy valioso
amanecer,anochecer,papa,"si, porque va diciendo todo con la frase pelota",que su hermano es chillon,Significa que su papa es porque son peludos,que la pelota no seria la luna
primo,mama,hermana,"No, porque como que no se escucha bien",que grita mucho,"gato, porque tiene pelos",mama es una pelota de plata
fenomeno,pesada,mi fenomeno,"No, porque no no tiene vida y no tiene boca",que grita mucho,que esta chida esta de !pelos!,que esta hecha de plata y es pesada
