Respuesta,Puntaje
si. porque canta,2
que su hermano grita mucho,3
NS,1
que mi hermano habla y llora mucho,3
porque es muy travieso o llora mucho,3
sus hemanos gritan mucho,3
que su hermano grita mucho,3
porque algunos gritamos cuando queremos,2
es muy irritante y llora mucho,3
que su hermano grita mucho,3
mi hermano es un griton,3
mi hermano grita mucho,3
NS,1
su hermano grita mucho,3
que grita mucho y no para de reir,3
que su hermano es chillon,3
que grita mucho,3
que grita mucho,3
lenguaje literal,2
que mi hermano esta gritando,3
que es griton,3
mi hermano es una pelota que grita mucho,3
porque cuando no le dan algo se enoja y empieza a gritar,3
que su hermano grita mucho,3
mi hermano grita mucho,3
0,0
es como cuando grita mucho muy fuerte,3
que grita mucho,3
no grita porque no es como su hermano,1
que se asusta siempre o es muy enojona y grita mucho de furia,3
es lloron y es pelota de gritos,3
que su hermano grita mucho,3
mi hermano grita mucho,3
que bota,1
que su hermano siempre esta gritando,3
porque grita mucho,3
que es aburrido,1
que su hermano siempre o la mayoria de veces grita o llora,3
porque su hermanito es pequeno y grita por eso,3
cuando un hermanito grita porque quiere algo,3
que grita mucho,1
si. porque siempre chilla,3
que esta gritando todo el dia,3
porque las hermanas por todo se enojan,3
su hermano es muy travieso,3
que grita mucho,3
que su hermano es griton,3
es muy escandaloso,3
llora por ella ,1
que su hermano grita mucho,3
porque esa pelota esta muy poco inflada,1
que grita mucho,3
una persona que grita mucho,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que su hermano grita mucho,3
es un nino griton,3
que mi hermanito grita mucho,3
que es griton,3
que su hermano grita mucho,3
que su hermano es muy griton,3
mi hermano siempre grita,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que mi hermano grita mucho,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que es un gordito que grita,3
que su hermano grita mucho,3
que mi hermano grita mucho,3
que mi hermano es griton,3
porque se expresa de manera en la que es como llora mucho,3
que es gordo y grita mucho,3
que su hermano grita mucho,3
que grita mucho,3
que a cada rato grita,3
que el hermano es una persona gritona,3
que mi hermano grita mucho,3
que grita mucho,3
que mi hermano grita mucho,3
mas o menos le entendi,1
que es muy enojon,3
que su hermano grita mucho,3
que su hermano grita mucho,3
NS,1
que los bebes lloran,3
que mi hermano grita,3
que su hermano tiene una cabeza redonda y siempre grita,3
que grita,3
que su hermano grita mucho,3
que su hermano grita mucho,3
mi  hermano bebe chilla y grita mucho,3
que mi hermano siempre grita,3
que tu hermano cada vez que salta grita,3
que grita mucho,3
mi hermano grita mucho,3
que mi hermanito siempre grita y no suelta la pelota,3
que su hermanito grita pelotas pelotas,1
que grita mucho,3
circular comelona,2
su hermano grita,3
(dormido),1
que grita demasiado,3
mi hermana es una pelota de risa,2
NS,1
que ese hermanito llora mucho y grita mucho,3
que es muy gritona,3
que mi  hermano grita mucho,3
que su hermano grita mucho,3
que su hermano es griton,3
que llora y grita cuando necesita algo,3
que es muy divertido y grita mucho,3
que es muy gritona,3
porque esta gordito y es griton,3
que grita mucho,3
que grita mucho,3
si ,1
si que es un bebe y que le meten un ladrillo por  la boca para callarlo,1
que grita mucho,3
porque grita,3
si porque tal vez asi es y les guste decirle asi,1
que grita mucho,3
NS,1
de que mi pelota es muy gritona commo mi hermano,1
que grita mucho,3
que mi hermanito grita mucho,3
que mi  hermano siempre grita,3
que el hermano siempre grita,3
que su hermano rueda,2
que su hermanito grita mucho,3
que es griton y juega con una pelota,2
que es muy jugueton y grita mucho,3
que mi hermano grita mucho,3
tu hermanito satltara y saltara y no tiene sentido,2
que su hermano no para de gritar,3
que cuando juega con la pelota grita,2
que su hermano grita mucho,3
que grita mucho,3
que no puede haber pelotas asi,1
que grita mucho,3
que cuando rebota suena como un grito,2
que mi hermanito siempre grita a cada segundo,3
una pelota de gritos porque los bebes siempre lloran. gritan. eructan y muchas mas cosas,3
que su hermano grita mucho y le gusta saltar,3
o sea que chilla mucho,3
que su hermano grita bien alto,3
que grita mucho,3
pues se refiere a que su hermanito es muy griton o grita mucho,3
que su hermano grita o llora todo el dia,3
que mi hermano grita mucho,3
porque le encanta gritar,3
que es muy griton,3
que su hermano es chillon o griton,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que cuando grita es que quiere algo,3
mi hermanito grita porque se eleva la pelota,2
que su hermano grita mucho,3
que su hermanito grita y es redondo,2
porque su hermano se la pasa gritando todo el tiempo,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que su hermano llora mucho,3
que su hermano grita mucho,3
que llora mucho y molesta,3
que su hermano grita muy fuerte diario,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que su hermano grita mucho,3
porque seguramente es un bebe y los bebes gritan y lloran,3
que grita mucho,3
creo que es mi hermano pero  grita mucho,3
que hermanito es un griton. chillon. comelon. etc.,3
que grita mucho,3
que el hermano es travieso y grita mucho,3
que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,3
