,que mi hermanito grita mucho,limpio,similarity,wmdistances,n_similarities,distance,1
0,si. porque canta,['canta'],False,False,False,False,2
1,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
2,NS,['NS'],False,False,False,False,1
3,que mi hermano habla y llora mucho,"['hermano', 'llora']",0.27072164,0.0467760107619966,0.32829186,0.935484716668725,3
4,porque es muy travieso o llora mucho,"['travieso', 'llora']",0.34202784,0.04517254069603631,0.50417924,0.7995870411396027,3
5,sus hemanos gritan mucho,"['hermanos', 'gritan']",0.37636167,0.045068640532251465,0.587024,0.8051643259823322,3
6,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
7,porque algunos gritamos cuando queremos,['gritamos'],False,False,False,False,2
8,es muy irritante y llora mucho,"['irritante', 'llora']",0.28100058,0.04417756825083903,0.39172617,0.8431226462125778,3
9,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
10,mi hermano es un griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
11,mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
12,NS,['NS'],False,False,False,False,1
13,su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
14,que grita mucho y no para de reir,"['grita', 'reír']",0.668244,0.032122791350467285,0.63773954,0.8510307371616364,3
15,que su hermano es chillon,"['hermano', 'chillón']",0.21784061,0.04702518017876213,0.30738476,0.9670466724783182,3
16,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
17,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
18,lenguaje literal,"['lenguaje', 'literal']",False,False,False,False,2
19,que mi hermano esta gritando,"['hermano', 'gritando']",0.28197762,0.04605592103113118,0.45310497,0.8738200459629297,3
20,que es griton,['gritón'],0.25820884,0.04433506860914729,0.357207,0.7952935248613358,3
21,mi hermano es una pelota que grita mucho,"['hermano', 'pelota', 'grita']",0.51905614,0.030293300670260773,0.60425675,0.9633973501622677,3
22,porque cuando no le dan algo se enoja y empieza a gritar,"['enoja', 'empieza', 'gritar']",0.4008088,0.048021492288455106,0.5912515,0.7906476557254791,3
23,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
24,mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
25,0,[],False,False,False,False,0
26,es como cuando grita mucho muy fuerte,"['grita', 'fuerte']",0.5973565,0.03090301618133704,0.5692198,0.8915203660726547,3
27,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
28,no grita porque no es como su hermano,"['grita', 'hermano']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,1
29,que se asusta siempre o es muy enojona y grita mucho de furia,"['asusta', 'enojona', 'grita', 'furia']",0.43866968,0.03468124458409644,0.6052917,0.9011772642843425,3
30,es lloron y es pelota de gritos,"['llorón', 'pelota', 'gritos']",0.32233697,0.04400163904755245,0.4947111,0.8908650502562523,3
31,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
32,mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
33,que bota,['bota'],0.3015542,0.044172939882122786,0.32965043,0.932591050863266,1
34,que su hermano siempre esta gritando,"['hermano', 'gritando']",0.28197762,0.04605592103113118,0.45310497,0.8738200459629297,3
35,porque grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
36,que es aburrido,['aburrido'],0.1996172,0.04752229242104667,0.21235228,0.9529004879295826,1
37,que su hermano siempre o la mayoria de veces grita o llora,"['hermano', 'mayoría', 'grita', 'llora']",0.4654215,0.03345022209128755,0.6046258,0.9113002615049481,3
38,porque su hermanito es pequeno y grita por eso,"['hermanito', 'pequeño', 'grita']",0.79035825,0.014689457331273258,0.8110508,0.9186737810571989,3
39,cuando un hermanito grita porque quiere algo,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
40,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,1
41,si. porque siempre chilla,['chilla'],0.4009888,0.04797249944392849,0.53725517,0.6683789491653442,3
42,que esta gritando todo el dia,['gritando'],0.3733083,0.043518344551005665,0.5244153,0.7069355249404907,3
43,porque las hermanas por todo se enojan,"['hermanas', 'enojan']",0.2813771,0.04464077402035315,0.44135043,0.830888070166111,3
44,su hermano es muy travieso,"['hermano', 'travieso']",0.26195315,0.047997546037951,0.38341755,0.9048068914562464,3
45,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
46,que su hermano es griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
47,es muy escandaloso,['escandaloso'],0.21627086,0.04581402271363992,0.23753607,0.9076169356703758,3
48,llora por ella ,['llora'],0.35079637,0.045380870698831094,0.3590144,0.8302648663520813,1
49,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
