x
"Si, porque es una cancion que se va formando"
NA
"No, porque casi no se le entiende que quiere decir"
"No, porque una pelota no canta"
"si, porque rima poquito y habla sobre la familia"
"No, no rima y no tiene sentido de las palabras"
"Si, porque se entiende que alguien de tu familia canta"
"No, no tiene sentido"
"Si,todos tienen su chiste"
"No, porque no se escucha bien"
"Si, porque luego las pelotas van en sentido contrario."
"Si,su mama canta"
"Si,porque su palabra significa algo"
"Si,poema"
"Si, porque luego las pelotas van en sentido contrario."
"Si, porque a su mama le gusta cantar"
"si, porque mi mama canta"
"si, porque se explica lo que dice"
"si, porque rima"
"No, porque una pelota no canta*"
"no, es poema y no es cancion"
"si, porque describe una cosa o una persona"
"si, porque se oye bonito"
"si, porque mi mama canta"
"si, porque esta en sentido figurado pelota que canta es como alguien que canta"
"No, porque una pelota no canta"
"no porque las pelotas no cantan, pero puede que estuviera hablando en sentido figurado, seria una cara cantando."
"no, porque es tonta"
"si, porque algunas mamas cantan"
"No,porque no cantan"
"No, porque una pelota no canta"
"No, no tiene sentido"
"Si, rima con no puedo contarlas"
"Si,cada vez que rebota"
"Si, porque el poema trata de pelota"
"Si, porque rima con el poema"
"No, las pelotas no cantan"
"Si, porque puede ser en mi imaginacion"
"No, ninguna pelota habla"
"Si, porque a su mama le gusta cantar"
"Si, porque es como si digieran el"
"No, porque no la conteste"
"Si, porque compara a su familia"
"No, porque las pelotas no hablan"
"Si, todo rima"
"Si, porque indica que a la mama le gusta cantar"
"No, porque no lo entiendo"
"No, porque las pelotas no hablan"
"Si, porque es fuego, plata y pelos..rima como pelota"
"SI, porque suena a pelota"
"Si, porque rima con el poema"
"No, porque las pelotas no hablan"
"Si, porque la mama puede cantar"
"Si, porque la persona es una pelota que canta mucho"
"No, porque las pelotas no cantan"
"Si, porque se refiere a alguien que canta"
"No, porque las pelotas no hablan*"
"No,porque no cantan"
"no, porque no tiene sentido"
"No, porque las pelotas no cantan"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no hablan*"
"Si, porque la persona es una pelota que canta"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no hablan*"
"Si, porque a su mama le gusta cantar"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"si, es una persona que canta"
"si, es una persona que canta"
"si, es una persona que canta"
"No, porque las pelotas no cantan*"
"si, es una persona que canta"
"si,porque la mama canta"
"No, porque las pelotas no cantan*"
"No, porque no suena logico"
"Si, porque puedes jugar con ella"
"No, no tiene sentido"
no entiendo
"No, porque las pelotas no cantan*"
"Si, puede imaginar una pelota que canta"
"No, porque las pelotas no cantan*"
No porque las pelotas no cantan*
"si, todos cantan"
"No, porque no es redonda"
"No, porque las pelotas no cantan*"
no entiendo
"si, porque terminan con ta"
"Si, porque a su mama le gusta cantar"
"Si,porque tiene sentido"
"No, porque las pelotas no hablan*"
"Si,porque tiene sentido"
"No, porque las pelotas no cantan*"
"si,tienen sentido"
"si,porque rebota"
"No, porque las pelotas no cantan*"
"No,porque no existen"
"Si, porque rima"
"No, porque no tiene sentido"
"Si, porque es un poema"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"Si,porque rima"
"No, porque las pelotas no cantan*"
"Si, porque dice que su mama es una pelota que canta, o sea que es muy alegre y feliz"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"Si, porque rima y ademas es un poema"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"Si, porque su mama canta"
"No, porque ninguna pelota habla, menos que canta"
"si, tiene significado, creo que habla de la garganta o el chillido de una pelota"
"No, porque las pelotas no cantan*"
"Si, porque a su mama le gusta cantar*"
"Si, significa que su mama canta"
"No, las pelotas no tienen boca"
"No, porque las pelotas no cantan*"
"si, te demuestra que caracteres tiene tu familia"
"si, porque tiene sentido entre la pelota y lo demas"
"No, porque las pelotas no cantan*"
"Si, mi mama canta"
"si, porque todas las personas las conocen por su redondez"
"no, porque no existe"
"No, porque las pelotas no hablan"
"No, porque las pelotas no cantan*"
"Si, porque asi se demuestran las mamas cuando estan contentas o felices"
"si, porque canta la pelota cuando rebota"
"No, porque las pelotas no tienen boca"
"si, cuando nuestra mama nos regana nos grita, o tambien cuando no la obedecemos"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no hablan*"
"Si, porque habla sobre su mama"
"Si, porque rima"
"Si, porque dice en la cancion que toda tu familia parece pelotas"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan"
"No, porque no es una pelota que canta, sino una pelota cualquiera"
"No, porque las pelotas no cantan"
"No, porque las pelotas no pueden cantar porque no tienen boca*"
"No, porque las pelotas no cantan*"
"si, porque tenia varios ejemplos"
"si,porque todos los conocemos"
"No, porque no rima"
"si, porque todas las pelotas hacen lo que quieren"
"No, porque no se le entiende a la frase pelota"
"No, porque es obvio que ninguna ""pelota canta"""
"No, porque las pelotas no cantan*"
"Si, porque cada vez que rebota su mama quiere cantar"
"No, porque las pelotas no cantan*"
"No,porque mi mama puede cantar, pero no todo el tiempo"
"No,porque esta en sentido figurado"
"Si, porque su mama canta mucho y la describio como una pelota"
"No, porque es una pelota cualquiera"
"No,porque no todo es una pelota"
"No, porque no tiene sentido alguno"
"si, porque una mama puede cantar con una pelota"
"No, porque las pelotas no tienen boca"
"Si, porque tu mama canta bonito"
"si, porque es una persona gordita que canta"
"No, porque las pelotas no hablan*"
"No, porque las pelotas no cantan*"
"No, porque su mama es un ser vivo y no un material"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan*"
"No, porque casi no rima"
"No, porque las pelotas ni se mueven ni cantan"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan"
"Si, porque es mama que canta"
"No, porque las pelotas no cantan y la frase esta en sentido figurado"
"No, porque esta como insultando a las personas"
"si,porque se escucha bien y aparte si no tuviera sentido no la escuchariamos"
"No, porque es una expresion, yo creo que quiso decir """
"No, porque las pelotas no cantan*"
"No, porque las pelotas no cantan, esto se significa que esta hablando en sentido figurado"
"No, porque las pelotas no cantan, son para jugar"
"No, porque yo digo que no"
No hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran
"No, porque las pelotas no cantan*"
"No, porque es una frase que no existe y ademas es la frase ""pelota que canta"" no existe"
"No, porque las pelotas no cantan*"
