Item 1,,
Estímulo: El _____ es una pelota de fuego,,
,word,n
1,sol,77
2,balon,14
3,fuego,7
4,hombre,6
5,nino,6
6,no contesto,4
7,papa,4
8,senor,4
9,abuelo,3
10,no respondio,3
11,pelotas,3
12,vecino,3
13,volcan,3
14,arma,2
15,cerillo,2
16,circulo,2
17,encendedor,2
18,fenomeno,2
19,gato,2
20,meteorito,2
21,meteoro,2
22,padre,2
23,perro,2
24,tio,2
25,aceite,1
26,agua,1
27,aire,1
28,amanecer,1
29,amigo,1
30,bola,1
31,bombero,1
32,calor,1
33,carro,1
34,casi,1
35,cocinero,1
36,corazon,1
37,cualquiera,1
38,diablo,1
39,(dormido),1
40,dragon,1
41,(el ) o ella,1
42,el que madruga,1
43,enemigo,1
44,enojo,1
45,fireball,1
46,fogata,1
47,fudon,1
48,gas,1
49,hermano,1
50,juan,1
51,juega,1
52,jugador,1
53,la pelota,1
54,loco,1
55,mango,1
56,meteoro ,1
57,mr. senor,1
58,no,1
59,no entiendo,1
60,no entiendo nada,1
61,no la conozco,1
62,odio,1
63,papel ,1
64,pelo,1
65,pelota,1
66,plata,1
67,primo,1
68,que cosa,1
69,quemador,1
70,rafles,1
71,rebota,1
72,rueda,1
73,si,1
74,sin respuesta,1
75,sofa,1
76,son tantas,1
77,tiene,1
78,tiene esa,1
79,vecino de pelo rojo,1
80,viento,1
