ta1,ta2,ta3,ta4s,ta4n,ta5,ta6,ta7
El que madruga,Mucho Dinero,Mi pelo,porque es alegre,,"Si, porque canta",una bola llena de pelos,"muchos, pero"
Abuelo,Mi vecino,Mi abuela,,"No, porque las pelotas no cantan ",que su hermano grita mucho,"Mi vecina porque, que s???","Es una pelota secreta, porque que s???"
fudon,veredo,pelos,"Si, pelota la que le platico",,No s(??),Que es una pelota,Porque... 
Meteoro ,Mi estomago ,Mi cabeza,"No, porque no existe una pelota que canta? ",,que mi hermano habla y llora mucho,"mi cabello, porque cuando te peinas te puedes hacer chinos","el estomago, porqu?? es un poquito duro"
Nino,La nina,Mi papa,"No, porqu?? una pelota no puee hablar.",,porqu?? es muy travieso o llora mucho,se le cae el pelo o porqu?? tiene mucho pelo,Qu?? se porta muy bien
Meteoro ,Metal,Gato,"No, porque las pelotas no cantan ",,Sus hemanos gritan mucho,"un oso, un lobo son animales que necesitan su pelo para cubrirse.",Las plantas 
Sol,Moneda,Perro,"No,porqu?? no hablan",,que su hermano grita mucho,Un gato porqu?? tiene muchos pelos.,Una moneda porqu?? es muy brillante
Senor,Que,Papa,"Si,es una metafora ",,Porqu?? algunos gritamos cu?!ndo queremos,Una cabez con muchos pelos,Un bal??n
Balon,Hermana ,Gato,"Si, porqu?? te diviertes jugando con ella.",,Es muy irritante y llora mucho,Lo perros y la cabeza,Cu?!ndo algo es bonito
Sol,Luna,Cabeza,"Si,es algo qu?? nos gusta y se puede decir as??",,que su hermano grita mucho,Perro tiene pelos,Luna porqu?? es de color plateado.
Vecino de pelo rojo,tu sonrisa,Perro,,"No, porque en realidad es una met?!fora y las met?!foras son mentira? ",Mi hermano es un grit??n*,El cabello desordenado,Porque cuando alguien sonrie su sonrisa brilla tanto y por eso le puse eso.
Cualquiera,Hermanito,Mama,"si, porqu?? se inspira? ",,Mi hermano grita mucho,Tiene muchos pelos,Que es una pelota de plata.
Sol,la luna,gato,,"No, porque me gusta mucho la frase",No lo s??,Un perro,la luna
Papel ,la Paja,Pelota,Si.,,Su hermano grita mucho,Su pap?! es de pelos,Es paja? y la puedes hacer bola y puedes jugar con ella a patearla
Sol,El,gato,"si, es algo significativo o algo",,que grita mucho y no para de reir,"perro, porque es muy peludo",que es muy valioso
amanecer,anochecer,papa,"si, porque va diciendo todo con la frase pelota",,que su hermano es chill??n,Significa que su pap?! es porque son peludos,que la pelota no ser??a la luna
primo,mama,hermana,,"No, porque como que no se escucha bien",que grita mucho,"gato, porque tiene pelos",mam?! es una pelota de plata
fenomeno,pesada,mi fenomeno,,"No, porque no no tiene vida y no tiene boca",que grita mucho,que esta chida est?! de ?!pelos!,que esta hecha de plata y es pesada
Sol,Mi perro,gato,,"No, porque no rima",lenguaje literal,mi perro es una pelota de pelos,lenguaje literal
tio,papa,primo,,"no, si no todas las pelotas estuvieran cantando ",que mi hermano est?! gritando,mi primo tiene pelos,mi pap?! es de plata
sol,luna,cabeza,,"no, porque no tienen boca",que es grit??n,"una cabeza, porque tiene pelos",es la luna porque es plateada.
