ta1,ta2,ta3,ta4,ta5,ta6,ta7
El que madruga,Mucho Dinero,Mi pelo,porque es alegre,"Si, porque canta",una bola llena de pelos,"muchos, pero"
Abuelo,Mi vecino,Mi abuela,"No, porque las pelotas no cantan ",que su hermano grita mucho,"Mi vecina porque, que sé?","Es una pelota secreta, porque que sé?"
fudon,veredo,pelos,"Si, pelota la que le platico",No s(é),Que es una pelota,Porque... 
Meteoro ,Mi estomago ,Mi cabeza,"No, porque no existe una pelota que canta ",que mi hermano habla y llora mucho,"mi cabello, porque cuando te peinas te puedes hacer chinos","el estomago, porqué es un poquito duro"
Nino,La nina,Mi papa,"No, porqué una pelota no puee hablar.",porqué es muy travieso o llora mucho,se le cae el pelo o porqué tiene mucho pelo,Qué se porta muy bien
Meteoro ,Metal,Gato,"No, porque las pelotas no cantan ",Sus hemanos gritan mucho,"un oso, un lobo son animales que necesitan su pelo para cubrirse.",Las plantas 
Sol,Moneda,Perro,"No,porqué no hablan",que su hermano grita mucho,Un gato porqué tiene muchos pelos.,Una moneda porqué es muy brillante
Senor,Que,Papa,"Si,es una metafora ",Porqué algunos gritamos cuándo queremos,Una cabez con muchos pelos,Un balón
Balon,Hermana ,Gato,"Si, porqué te diviertes jugando con ella.",Es muy irritante y llora mucho,Lo perros y la cabeza,Cuándo algo es bonito
Sol,Luna,Cabeza,"Si,es algo qué nos gusta y se puede decir así",que su hermano grita mucho,Perro tiene pelos,Luna porqué es de color plateado.
Vecino de pelo rojo,tu sonrisa,Perro,"No, porque en realidad es una metáfora y las metáforas son mentira ",Mi hermano es un gritón*,El cabello desordenado,Porque cuando alguien sonrie su sonrisa brilla tanto y por eso le puse eso.
Cualquiera,Hermanito,Mama,"si, porqué se inspira ",Mi hermano grita mucho,Tiene muchos pelos,Que es una pelota de plata.
Sol,la luna,gato,"No, porque me gusta mucho la frase",No lo sé,Un perro,la luna
Papel ,la Paja,Pelota,Si.,Su hermano grita mucho,Su papá es de pelos,Es paja y la puedes hacer bola y puedes jugar con ella a patearla
Sol,El,gato,"si, es algo significativo o algo",que grita mucho y no para de reir,"perro, porque es muy peludo",que es muy valioso
amanecer,anochecer,papa,"si, porque va diciendo todo con la frase pelota",que su hermano es chillón,Significa que su papá es porque son peludos,que la pelota no sería la luna
primo,mama,hermana,"No, porque como que no se escucha bien",que grita mucho,"gato, porque tiene pelos",mamá es una pelota de plata
fenomeno,pesada,mi fenomeno,"No, porque no no tiene vida y no tiene boca",que grita mucho,que esta chida está de ¡pelos!,que esta hecha de plata y es pesada
Sol,Mi perro,gato,"No, porque no rima",lenguaje literal,mi perro es una pelota de pelos,lenguaje literal
tio,papa,primo,"no, si no todas las pelotas estuvieran cantando ",que mi hermano está gritando,mi primo tiene pelos,mi papá es de plata
sol,luna,cabeza,"no, porque no tienen boca",que es gritón,"una cabeza, porque tiene pelos",es la luna porque es plateada.
sol,mar,cabeza,"no, porque  no puede ser mi mamá una pelota que canta",mi hermano es una pelota que grita mucho*,"mi cabeza, tiene mucho cabello",el mar es una pelota de plata
gato,mama,hermano,"si, porque  a cada rato canta",porque cuando no le dan algo se enoja y empieza a gritar,porque está lleno de pelo de la cabeza hasta la cola,mi mamá vale mucho como si fuera plata
sol,cual,cabeza,"No, porque las pelotas no cantan ",que su hermano grita mucho*,Perro porque tiene pelos*,sin respuesta
sol,mar,perrito,"si, es como me dijieron mi mamá canta",Mi hermano grita mucho*,mi abuelito es una pelota de pelos,el mar es una pelota de plata
,,,,,,
senor,mi mama,Pedro,no se canta ¡no tiene sentido!,es como cuando grita mucho muy fuerte,puede ser como una pelota de pelos porque puede ser así,esta como hecha de plata y de nada más
gato,perro,gato,"si, porque si",que grita mucho,jamster porque tiene pelo,perro
fenomeno,pesada,pelota,"no, porque nomas son pelotas",no grita porque no es como su hermano,es chida,una pelota de pelos
tiene esa,"""no entendio""","""no entendio""","si, porque alguien se expresa con anhelo",que se asusta siempre o es muy enojona y grita mucho de furia,no respondio,no respondio
sol,Moneda,Cabeza,"no, porque mi mamá no canta",es lloron y es pelota de gritos,las cabezas de los demás,es una moneda es de plata pelota de plata
sol,El fierro,Gato,"Si, porque si rima",que su hermano grita mucho*,Perro porque tiene muchos pelos*,pues fierro
sol,no se,Gato,"No, porque las pelotas solo se mueven",Mi hermano grita mucho*,Un gato porque sacan bolas de pelo,no se
bola,pelota,pelota,"No, no sé",que bota,La pelota de picos ,Qué vale oro
nino,y,Perro,"Si, porque su máma canta",que su hermano siempre está gritando,es su perro porque tiene mucho pelo,no se
sol,no se,Perro,"si, porque es cantada en todo",porque grita mucho,chango porque tiene pelos,no se
sol,la luna,Cabello,"No, porque no puedo encontrar el ritmo del poema",Qué es aburrido,Mi cabello porque se la pasa enredado ,la luna porque es de color plata en la noche y día
sol,La estrella,Perro,"Si, a sentido figurado podría ser una radio",que su hermano siempre o la mayoría de veces grita o llora, Uno mismo por no cortarse el pelo,Como las estrella brillan y la plata refleja la luz como una estrella
pelotas,pelotas,pelotas,"Si, porqué si da sentido eso de pelotas",porque su hermanito es pequeño y grita por eso,Sería una pelota hecha de pelos,Sería un trofeo
sol,Luna,Perro,"Si, cuando una persona canta",cuando un hermanito grita porque quiere algo,un gato,se refiere a la luna
sol,el,Amigo,"No, porque las pelotas no cantan ",que grita mucho,un gato porqué tiene muchos pelos.,La pelota es dura y brillante
rueda,voliche,ermos,"Si, porque es un juguete para rebotar, rodar y aventar.","si, porque siempre chilla",para un perro,porque es una pelota voliche
sol,agua,bola,"Si, porqué suena muchas veces",que está gritando todo el día,El sol porque es redondo,que brilla
Abuelo,Abuela,Papa,"Si, porque canta",porque las hermanas por todo se enojan,Qué son pelotas cualquiera,Es una abuela
Sol,la luna,no se,"Si,  figurado porque está hablando con pret",Su hermano es muy travieso,El mar porque está muy grande,Es igual a la luna de redonda
balon ,caliente,pelota,"No, porqúe no existen esas pelotas y menos su familia",que grita mucho,nada porque no existen esas pelotas,no contesto
Sol,la Luna,gato,"Si, es un poema",que su hermano es gritón*,que es suave ,Que se parece a la Luna
Sol,iman,Cabeza,"Si, se refiere a jugar",Es muy escandaloso,Un gato creo,Creo que es una bala de imán
la pelota,Baston,Carro,"Si, porque son juguetes",llora por ella ,la de los gatos,una canca de  fierro
no contesto,No contesto,Perro,"No, porqué no canta",que su hermano grita mucho*,Su perro,que la pelota puede ser dura
mr. senor,como,amigo,"Si, porque lo revise 3",porque esa pelota está muy poco inflada,Una pelota que le cayó pelo de la peluqueria,Una pelota de color plateada
Sol,Mi vida,perro,"Si, porque es una persona qué canta ",Qué grita mucho,Mi hermano porqué es ruidoso,Algo que aprecio mucho
