,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
0,1,m,porque es alegre,2891.0,si. porque canta,2360.0,una bola llena de pelos,2459.0,muchos. pero,2680.0,de papel,1575.0,brillosas,1655.0,helado,1668.0,calientita,1548.0,despacito ,2056.0,rapido,2413.0,que no va a ver,2056.0,porque no va haber ojos miel,3370.0,si puede haber,2106.0,si puede haber collar de perlas,2955.0,no puede haber,1865.0,no puede haber escobas de cristal,2981.0,si puede haber,2012.0,si puede haber comida salada,2995.0,si puede haber,1692.0,si puede haber,2867.0,no puede haber,1758.0,no puede lapiz sin sabor,2545.0,si puede haber,1711.0,si puede haber acercan los hornos,2377.0,si lo hace,1700.0,si puede seria el tren,2458.0,no va a ser,1828.0,no pueden correr los dias ,2606.0,2891.0,2256.6785714285716
1,2,m,no. porque las pelotas no cantan ,,que su hermano grita mucho,,mi vecina porque. que se?,,es una pelota secreta. porque que se?,,se hace muy cuidadosa,,bonitas de muchos colores ,,rojos con sangre,,*******,,NS,,que van muy rapido los segundos y el dia,,que los ojos son brillantes,,porque es cuando tienes los ojos brillantes,,un collar muy costoso,,porque si los tienen,,una escoba,,porque no existe,,cuando se le hecha mucha sal,,cuando le hechas mucha sal y lo comes esta salado ,,un abrazo suave,,por que lo puedes dar un abrazo suave,,que el lapiz tiene sabor,,no ni modo que te lo comas,,que caminan,,no no caminan y no se acercan,,que va viajando ,,que lleva pasajeros el tren,,que los dias vuelan,,que pasa muy rapido los dias,,2360.0,
2,3,m,si. pelota la que le platico,,NS,,que es una pelota,,porque... ,,que un papel,,que es dorado,,que frios es un papel,,una sonrisa tibia,,el lento ,,segundos vuelan,,ojos de miel,,por que crees,,nos,,por que nos,,pos si que tiene,,por si crees,,nos,,por que crees,,nos,,porque crees,,por si,,nos,,por no,,por que crees,,por si,,por si tiene,,nos,,nos,,2459.0,
3,4,m,no. porque no existe una pelota que canta,,que mi hermano habla y llora mucho,,mi cabello. porque cuando te peinas te puedes hacer chinos,,el estomago. porque es un poquito duro,,suave y con mucho papel,,bonitas y con diferentes colores,,rojos asquerosos,,bonita y alegre,,que es muy lento,,que el tiempo va muy rapido,,que alguien tiene los ojos muy hermosos,,creo que es posible porque alguien puede tener los ojos muy hermosos,,que hay collares de perlas,,si es posible porque si hay collares de perlas,,pque hay escobas de cristal,,no creo que sea posible porque no hay escobas de cristal,,que le puedes hechar mucha sal a tu comida,,creo que es posible porque hay cosas saladas,,que tu quieres darle un abrazo a alguien,,creo que si es posible porque puedes dar suaves abrazos,,que el lapiz no sabe rico,,creo que si es posible porque el lapiz no tiene sabor,,que los hornos no se pueden mover solos,,creo que no es posible porque el horno no se mueve solo,,que el tren se mueve,,creo que si es posible porque el tren se mueve,,que el tiempo pasa muy rapido,,creo que si es posible por que el tiempo es muy rapido,,2680.0,
4,5,m,no. porque una pelota no puee hablar.,,porque es muy travieso o llora mucho,,se le cae el pelo o porque tiene mucho pelo,,que se porta muy bien,,es suave,,son amarillos y parecen girasoles,,blancos o azules,,pues normal,,se tarda,,que pierdes tiempo,,que los tiene de miel los ojos,,porque eso no existe,,un collar de perlas hermoso,,porque eso lo encuentran en la playa,,es una escoba se romperia,,seria cara y costaria mucho,,comida salada es buena,,pero hace dano,,que alguien te da un abrazo en una almohada,,por que es real lo puede intentar,,un lapiz,,un lapiz tiene sabor a madera,,un te come no,,porque un horno no camina,,es real,,pues un tren es viajo posible todavia funcione,,los dias corren,,los dias pasan,,1575.0,
5,6,m,no. porque las pelotas no cantan ,,sus hemanos gritan mucho,,un oso. un lobo son animales que necesitan su pelo para cubrirse.,,las plantas ,,suavecita,,suave muy colorida,,corazones rotos ,,sonrisa bonita,,se les hace que el año va muy lento,,el tiempo pasa muy rapido,,ojos caidos,,porque nadie tiene los ojos asi,,NN,,porque los puede hacer ,,no se,,porque no puede hacerse,,comida muy salada,,si porque si unos platos solo le hechan sal a su plato,,carillo (carino?*),,porque si es posible de carino,,lapiz normal,,porque no le pueden morder,,NN,,porque los hornos no pueden caminar,,tiene llantas,,tienen llantas y un mecanismo,,NN,,los dias se pasan muy rapidos,,1655.0,
6,7,m,no.porque no hablan,,que su hermano grita mucho,,un gato porque tiene muchos pelos.,,una moneda porque es muy brillante,,suave y blandita,,de colores y huelen rico ,,rojos pegajosos,,es brillante,,en el año va muy lento,,que corre rapido el tiempo,,que tiene ojos de miel una persona,,no es posible,,que una persona tiene collar de perlas,,si es posible ,,que es te escobas de cristal,,no es posible,,que la comida le pusieron mucha sal,,si es posible,,que tu des abrazos suaves,,si se puede,,que es un lapiz de color,,no se puede,,que el horno se acerca,,no se puede,,que el tren se mueve,,si se puede,,que los dias van rapido,,si se puede,,1668.0,
7,8,m,si.es una metafora ,,porque algunos gritamos cuando queremos,,una cabeza con muchos pelos,,un balon,,delgada y delicada,,de colores y bonitas,,bonitos y rojos,,agradable y te muestra cariño,,comianzan a caminar,,que se va muy rapido el tiempo,,muy brillantes,,porque a veces alguna persona puede tener los ojos muy brillantes,,a veces estas muy guero,,por que son gueros,,cuando el cabello lo tienes brillante,,porque algnas personas tienen el cabello brilloso,,es cuando haces con mucha sal,,porque a veces se te pasa la sal,,por que alguna piel es sensible,,porque algunos tienen la piel sensible,,es a veces por la comida sin sabor,,es cuando sin sabor te queda la comida,,es cuando alguien gordo se acercan,,es cuando se acercan,,es cuando alguien se va,,es cuando alguien se va de viaje,,que se va muy rapido,,que se va muy rapido al tiempo,,1548.0,
8,9,m,si. porque te diviertes jugando con ella.,,es muy irritante y llora mucho,,lo perros y la cabeza,,cuando algo es bonito,,color carne y suave,,bonitas y de diferentes colores,,rojos sinceros y no respiras,,de distintas maneras,,NS,,los segundos son rapidos,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2056.0,
9,10,m,si.es algo que nos gusta y se puede decir asi,,que su hermano grita mucho,,perro tiene pelos,,luna porque es de color plateado.,,suave,,de colores,,de color rojo,,alegre,,tiene muchas estaciones,,que pasan muy rapido los segundos,,que los ojos son suaves,,que no puede ser posible que alguien tenga ojos de miel,,que un collar es de perlas,,si puede haber collares de perlas,,que es una escoba de cristal,,no puede haber escobas de cristal,,una comida puede ser salada,,hay muchas comidas saladas,,que es un abrazo suave,,si pueden darse abrazos suaves,,que el color es de colores,,no creo que hayan colores de sabores,,que se calientan,,que se acercan los hornos,,que se mueve el tren,,que si puede pasar,,que pare el tiempo,,que los dias se acaban,,2413.0,
