"","word","n"
"1","no, porque las pelotas no cantan*",44
"2","no, porque las pelotas no cantan",22
"3","no, porque las pelotas no cantan ",12
"4","no, porque las pelotas no hablan",10
"5","no, porque las pelotas no cantan* ",9
"6","no, porque las pelotas no hablan*",9
"7","no, porque no rima",6
"8","no, porque las pelotas no tienen boca",5
"9","si, es una persona que canta",4
"10","si, porque a su mama le gusta cantar",4
"11","no, no sé",3
"12","no, no tiene sentido",3
"13","no, porque no tiene sentido",3
"14","no, porque una pelota no canta",3
"15","si, porque rima",3
"16","si, porque su mamá canta",3
"17","no entiendo",2
"18","no porque las pelotas no cantan*",2
"19","no,porque no cantan",2
"20","si, porque canta",2
"21","si, porque luego las pelotas van en sentido contrario.",2
"22","si, porque mi mama canta",2
"23","si, porque mi mamá canta",2
"24","si, porque rima*",2
"25","si, porque rima con el poema",2
"26","si,porque tiene sentido",2
"27","(dormido)",1
"28","en la diversión en juego puede (hacer mas cosas??) en la pelota",1
"29","imaginénse una pelota cantar, no es normal",1
"30","no, es algo irónico",1
"31","no, es poema y no es cancion",1
"32","no, es sentido figurado mas no literal",1
"33","no hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran",1
"34","no, las pelotas no cantan",1
"35","no, las pelotas no tienen boca",1
"36","no le entiendo",1
"37","no, mi mamá no canta o tal vez las demás igual no",1
"38","no, nadie entendería",1
"39","no, ninguna pelota habla",1
"40","no, ninguna pelota puede cantar",1
"41","no, no rima y no tiene sentido de las palabras",1
"42","no, no se",1
"43","no, porque casi no rima",1
"44","no, porque casi no se le entiende que quiere decir",1
"45","no, porque como que no se escucha bien",1
"46","no, porque ?como una pelota canta?",1
"47","no, porque dice cosas extrañas",1
"48","no, porque ellas no hablan",1
"49","no, porque el sentimiento es de alegria",1
"50","no, porque en realidad es una metáfora y las metáforas son mentira ",1
"51","no, porque es algo muy raro ",1
"52","no, porque es imposible que una pelota cante, aunque metaforicamente si",1
"53","no, porque es obvio que ninguna ""pelota canta""",1
"54","no, porque eso no existe",1
"55","no, porque esta como insultando a las personas",1
"56","no,porque esta en sentido figurado",1
"57","no, porque está en sentido figurado",1
"58","no, porque es tonta",1
"59","no, porque es una cosa material",1
"60","no, porque es una expresion, yo creo que quiso decir """,1
"61","no, porque es una frase que no existe y ademas es la frase ""pelota que canta"" no existe",1
"62","no, porque es una pelota cualquiera",1
"63","no, porque es una pelota normal",1
"64","no, porque la pelotas que cantan no existen",1
"65","no, porque la puedes botar, pero no va a cantar",1
"66","no, porque las cosas no hablan",1
"67","no, porque las pelotas en si no pueden hablar",1
"68","no, porque las pelotas ni se mueven ni cantan",1
"69","no, porque las pelotas no cantan, es como si una pelota cantara despacito",1
"70","no, porque las pelotas no cantan, esto se significa que esta hablando en sentido figurado",1
"71","no, porque las pelotas no cantan (es una metafora)",1
"72","no porque las pelotas no cantan, pero puede que estuviera hablando en sentido figurado, seria una cara cantando.",1
"73","no, porque las pelotas no cantan solo con la imaginación",1
"74","no, porque las pelotas no cantan, son para jugar",1
"75","no, porque las pelotas no cantan y la frase esta en sentido figurado",1
"76","no porque las pelotas no hablan",1
"77","no, porque las pelotas no hablan *",1
"78","no,porque las pelotas no hablan y si no hablan no cantan",1
"79","no, porque las pelotas no pueden cantar",1
"80","no, porque las pelotas no pueden cantar porque no tienen boca*",1
"81","no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales",1
"82","no, porque las pelotas no se mueven ni hablan",1
"83","no, porqué las pelotas no son seres vivos",1
"84","no, porque las pelotas no tienen vida",1
"85","no, porque las pelotas rebotan",1
"86","no, porque las pelotas rebotan no cantan",1
"87","no, porque las pelotas solo se mueven",1
"88","no, porque las pelotas solo son para jugar, no para cantar",1
"89","no, porque llas pelotas no tienen cerebro, entonces serían como unos zombies porque no tienen cerebro",1
"90","no, porque me gusta mucho la frase",1
"91","no, porque mi mamá no canta",1
"92","no,porque mi mama puede cantar, pero no todo el tiempo",1
"93","no, porque nadamas dices pelota",1
"94","no, porque ninguna pelota canta",1
"95","no, porque ninguna pelota habla, menos que canta",1
"96","no, porque ninguna pelota puede cantar",1
"97","no, porqué no canta",1
"98","no, porque no creo que vaya a cantar",1
"99","no, porque no es redonda",1
"100","no,porque no es tan comprensible",1
"101","no, porque no es una pelota que canta, sino una pelota cualquiera",1
"102","no, porque no existe",1
"103","no,porque no existen",1
"104","no, porqúe no existen esas pelotas y menos su familia",1
"105","no, porque no existe una pelota que canta ",1
"106","no,porqué no hablan",1
"107","no, porque no hay pelotas que canten",1
"108","no, porque no la conteste",1
"109","no, porque no lo entiendo",1
"110","no, porque nomas son pelotas",1
"111","no, porque no no tiene vida y no tiene boca",1
"112","no, porque no puede haber pelotas que canten en la vida real",1
"113","no,porque no puede haber un objeto que cante, eso sería imposible y absurdo ",1
"114","no, porque  no puede ser mi mamá una pelota que canta",1
"115","no, porque no puedo encontrar el ritmo del poema",1
"116","no, porque no rima la frase",1
"117","no, porque no rima tanto pelota que canta porque no termina igual",1
"118","no, porque no se escucha bien",1
"119","no, porque no se le entiende a la frase pelota",1
"120","no, porque no suena logico",1
"121","no, porque no tiene boca para hablar",1
"122","no, porque no tienen boca",1
"123","no, porque no tiene ningun efecto",1
"124","no, porque no tienen suficientes palabras para explicar el poema",1
"125","no, porque no tiene sentido alguno",1
"126","no,porque no todo es una pelota",1
"127","no, porque simplemente las pelotas no cantan",1
"128","no, porque su mama es un ser vivo y no un material",1
"129","no porque una pelota es una objeto inmovil",1
"130","no, porque una pelota no canta ",1
"131","no, porque una pelota no canta*",1
"132","no, porque una pelota no canta ni habla, no tiene vida",1
"133","no, porque una pelota no puede cantar",1
"134","no, porque una pelota no pueden ser todas las cosas",1
"135","no, porqué una pelota no puee hablar.",1
"136","no, porque una pelota no tiene boca",1
"137","no, porque una pelota no tiene boca por eso no canta",1
"138","no, porque una pelota se usa para jugar y porque es de plastico",1
"139","no, porque yo digo que no",1
"140","no, porque yo lo digo",1
"141","no, porque yo no he visto una pelota que canta",1
"142","no se canta ¡no tiene sentido!",1
"143","no, si no todas las pelotas estuvieran cantando ",1
"144","no tiene sentido porque casi no rima",1
"145","pelota que tiene ojos y boca, nariz y  habla",1
"146","porque es alegre",1
"147","si.",1
"148","si, a sentido figurado podría ser una radio",1
"149","si,cada vez que rebota",1
"150","si, cuando nuestra mama nos regana nos grita, o tambien cuando no la obedecemos",1
"151","si, cuando una persona canta",1
"152","si, el sol es redondo y con fuego",1
"153","si,es algo qué nos gusta y se puede decir así",1
"154","si, es algo significativo o algo",1
"155","si, es como me dijieron mi mamá canta",1
"156","si, eso creo yo",1
"157","si, es una frase feliz y divertida y alegre",1
"158","si,es una metafora ",1
"159","si, es un poema",1
"160","si,  figurado porque está hablando con pret",1
"161","si, mi mama canta",1
"162","si, pelota en movimiento",1
"163","si, pelota la que le platico",1
"164","si,poema",1
"165","si, porque alguien se expresa con anhelo",1
"166","si, porque algunas mamas cantan",1
"167","si, porque al momento que rebota suena",1
