a1t,a2t,a3t,a4t_a,a4t_b,a5t,a6t_a,a6t_b,a7t
sol,mi pelota,gato,No,no por que no se le entienden,por que hace mucho ruido,un leon,por que tiene melena,que es dura o aguanta
sol,La esfera,cabeza,No,"si, porque es una metafora que se refiera a alguien cantando","Que es un hermano que grita mucho, mas de lo normal :v","Una cabeza, un cepillo, algo redondo con pelos, alambre o algo q sobre salga con textura a pelos :v",porque sii???? mas que nada,Puede ser una medalla o una esfera color metalico :v
sol,el circulo,juguete,No,no se,que es una persona gritona,esta echa o esta de pelos de una que esta muy bien,no se,una joya
balon,balon,balon,No,por que no puede aver pelotas que cantan,porque el nino grita mucho,podria ser un balon con muchos pelos,por que se le pegan al balon,seria muy brillosa la pelota
GATO,PANCHITO,GATO,Si,PORQUE DA A EXPLICAR LO QQUE ES Y COMO Y EXPLICAN LAS COSAS DE LO QUE ES,ES MUY GRITON,UN GATO,PORQUE TRATA DECIR QUE ES UN GATO Y BOMITA Y SACA BOLAS DE PELOS,DA A CONOCER QUE QUE ES UNM MUY FUERTE
sol,mi pelota,cabeza,Si,por que su mama es gorda,que grita todo el tiempo,un pero gordo,por que los peros tienen pelos,que la pelota es de plata
sol,la luna,perro,No,es una metafora,que su hermano es un griton,"un gato , un hamster etc",las mascotas tienen pelos,por que la luna es de un color similar a la plata
sol,Luna,papa,Si,si porque es una metafora hacia su hermano,porque su hermanito sube demasiado la voz,un animal que a lo mejor tengan un animal,porque puede que su animal puede que tenga un chillido,porque es algo de plata
Silencio,soledad,monitor,Si,por que hay pelotas que producen sonidos con cierta afinacion podria tocarse una hermosa melodia,Se refiere a que el hermano grita y el poeta ve a mundo como pelotas,una cabeza,por que una cabeza tiene pelos.,por que la soledad es un tesoro que se deb de aprovechar y usarse.
sol,el frio,gato,No,porque el poema te esta ablando en sentido litersario y esta frase no concerda con el poema,porque talves su hermano grita mucho,un perro,por que se podria comparar a una pelota de pelos,por que el frio se puede comparar con la plata en su explendor
amor,la moneda,perro,No,porque las pelotas no cantan,por el grita,un gato,es muy peludo,se a de pareser a una moneda
balon,mi cartera,perro,Si,porque es una cancion en sentido figurado,que no se esta en silencio jajajajaja,mi hermana :v,porque tiene mucho cabello,que hay dinero en mi cartera
