"","word","n"
"1","porque las pelotas no cantan",21
"2","por que las pelotas no cantan",17
"3","las pelotas no cantan",9
"4","las pelotas no hablan",4
"5","porque una pelota no puede cantar",4
"6","no tiene sentido",3
"7","por que las pelotas no hablan",3
"8","porque las pelotas no hablan",3
"9","es una metafora",2
"10","no",2
"11","no le entiendo",2
"12","no se",2
"13","porque antes dice que la pelota es su mama",2
"14","porque la pelota es un objeto",2
"15","porque las pelotas no cantan.",2
"16","por que las pelotas no tienen sonido",2
"17","por que no",2
"18","por que no canta",2
"19","por que no rima",2
"20","por que puede ser no literalmente",2
"21","por que si",2
"22","porque una pelota no canta",2
"23","si",2
"24","una pelota no puede cantar",2
"25","1gf3r",1
"26","alguien alegre que canta.",1
"27","algun amimal que le encanta hacer demaciado ruido ya sea aullar, ladrar, maullar,etc.",1
"28","con esa frase puedes cambiar la palabra para que no se escuche tan mal",1
"29","cuando bota",1
"30","cuando dice pelotas, se refiere a seres",1
"31","cuando la botas hace un sonido que puede ser interpretado como cantar",1
"32","cuando la pelota rebota y hace ruido",1
"33","cundo se desinflan",1
"34","da otro sentido de expresar lo que quiere decir en el poema",1
"35","depende, si se refieren al sentido literal o figurado, si es literal no tiene sentido, pero si lo vez en sentido figurado puede tener un mensaje trascendental",1
"36","describe a la mama",1
"37","el autor del poema tiene una forma de expresar con la palabra ""pelota"" una persona, asi que tendria sentido en decirlo de esa manera",1
"38","el contexto te dice que la mama y todo lo demas son pelotas. (""pelotas"" sustituye a humanos"")",1
"39","el sonido de la pelota",1
"40","en si tiene buen sentido pero este no es literal por que una pelota no canta por que no tiene vida pero en un sentido mas figurado si lo tiene y este es muy utilizado en poesia y fragmentos",1
"41","es algo sin sentido y no es comun de escuchar",1
"42","es como si hablaras de una persona en lugar de pelotas",1
"43","es extrana la palabra y aparte las pelotas no hablan mucho menos cantan",1
"44","es ilogico",1
"45","es interesante",1
"46","es la que lleva el orden y que cuida a la familia.",1
"47","es metaforico",1
"48","es muy ilogico",1
"49","eso implosible",1
"50","es sentido figurado.",1
"51","esta describriendo a su madre, y su madre esta cantando.",1
"52","esta diciendo que canta, y la pelota es su cabeza",1
"53","esta linda",1
"54","esta reflejando una accion habitual de su mama",1
"55","es una expresion que contiene otro sigmificado",1
"56","es una metafora de algo o alguien que canta",1
"57","es una metafora de algo valioso",1
"58","es una metafora la pelota en realidad es su mama",1
"59","es una persona alegre",1
"60","es un objeto y no puede hacer eso",1
"61","es un poema y esta hablando en sentido literario",1
"62","juan gabriel cantaba",1
"63","la figura humana no tiene forma de esfera",1
"64","la mama como siempre esta en casa pues siempre va a poner musica y se va a poner a cantar",1
"65","lapelota no tienesentido",1
"66","la pelota puede tener un significado como una metafora pero si lo leemos y lo pensamos con sentido comun, esto no tiene sentido.",1
"67","la pelota salta no canta",1
"68","la poesia va en modo metaforico donde relata una historia , un mensaje o una forma de ver algo",1
"69","las pelotas",1
"70","las pelotas hacen ruido al golpearlas",1
"71","las pelotas ni hablan pero es metafora",1
"72","las pelotas no cantan.",1
"73","las pelotas no cantan en todo caso seria una metafora",1
"74","las pelotas no cantan que el",1
"75","las pelotas no cantan :v",1
"76","las pelotas no estan vivas por lo que no pueden cantar",1
"77","las pelotas no hablan ni nada de esas cosas",1
"78","las pelotas no pueden cantar o hablar, ya que son objetos",1
"79","las pelotas no tienen la habilidad de cantar",1
"80","las pelotas solo son cosas no seres vivos xdxd",1
"81","las pelotas son objetos",1
"82","los pelos no cantan",1
"83","los ruidos que hace una pelota",1
"84","meaning her mom is someone who sings a lot or maybe someone who is very energetic like someone from a musical.",1
"85","mi mama canta mucho",1
"86","mi mama siempre es muy linda con todos y habla tan lindo como una cancion",1
"87","mo le entendi nada",1
"88","ninguna pelota canta",1
"89","ninguna pelota hasta la actualidad puede cantar.",1
"90","no ay pelotas que ablen",1
"91","no canta",1
"92","no entendi",1
"93","no entiendo a que se refiere",1
"94","no es cancion",1
"95","no hablan",1
"96","no hablan los objetos",1
"97","no le encuentro logica",1
"98","no le encuentro ninguna referencia",1
"99","no le encuentro sentido ala frase",1
"100","no le encuntro logica con la frase ""mi mama es una pelota que canta""",1
"101","no le entendi",1
"102","no le veo el sentido.",1
"103","no le veo sentido",1
"104","no logro entender",1
"105","nomas",1
"106","nommmmmmeinpooooooooooorrrrrpa",1
"107","nooooooo",1
"108","noose",1
"109","no por que el poema son oraciones que riman",1
"110","no por que no se le entienden",1
"111","no poruq no pueden cantar",1
"112","nose",1
"113","no se entiende",1
"114","no se entine la palabra o se relaciona",1
"115","no sele entendio nada",1
"116","no se refiere a nada",1
"117","nose xdxd",1
"118","no te dise datos mas concretos",1
"119","no tiene boca",1
"120","no tiene logica",1
"121","no tienen boca",1
"122","no tiene una rima o significado con esas palabras",1
