"","word","n"
"1","un perro",41
"2","un gato",39
"3","mi perro",18
"4","un animal",16
"5","mi cabeza",9
"6","perro",9
"7","mi gato",7
"8","no se",6
"9","una cabeza",6
"10","un hamster",5
"11","la cabeza",4
"12","mi hermano",4
"13","un perro.",4
"14","el cabello",3
"15","gato",3
"16","una bola de pelos",3
"17","una mascota",3
"18","una pelota de tenis",3
"19","un peluche",3
"20","algun otro animal",2
"21","el gato",2
"22","el perro",2
"23","la cabeza de un gato",2
"24","la mascota",2
"25","lo que vomitan los gatos",2
"26","mi cabello",2
"27","mi cabesa",2
"28","no",2
"29","no lo se",2
"30","otro animal peludo",2
"31","una bola de estambre",2
"32","una enredadera de pelos",2
"33","un animal peludo",2
"34","una pelota de oro",2
"35","un coco",2
"36","un gato.",2
"37","un perrito",2
"38","13rgfq",1
"39","abuelo",1
"40","adornos para mochilas",1
"41","algo con muchos pelos",1
"42","algo o alguien complicado, que no comprendes",1
"43","alguien que es buena onda",1
"44","alguien que tiene muchos problemas",1
"45","alguna mascota",1
"46","algun animal",1
"47","alguna persona u objeto con muchos pelos",1
"48","algun otro animal podria funcionar",1
"49","animales",1
"50","a person that wears animal fur",1
"51","bolas de pelos",1
"52","bolitas de pelo caidos",1
"53","cabello enredado",1
"54","cabeza",1
"55","celos",1
"56","cepillo",1
"57","conejo",1
"58","cualquier aminal",1
"59","cualquier cosa",1
"60","cualquier cosa que sea redonda",1
"61","cualquier el animal",1
"62","cualquier otra mascota o si su papa tiene mucho pelo tambien podria ser el",1
"63","cual quier otro animal que tenga pelo",1
"64","delas cosas intimas xd",1
"65","de que es muy buena onda",1
"66","el cabello o otras partes7u7",1
"67","el carro",1
"68","el estropajo",1
"69","el gato depende de la mascota que tengas ;v",1
"70","el pelo",1
"71","el perro o caballo",1
"72","el perro o el gato",1
"73","el planeta",1
"74","el rabo de un conejo",1
"75","el vomito de un gato",1
"76","es como un animal",1
"77","es genuina",1
"78","esta echa o esta de pelos de una que esta muy bien",1
"79","estambre",1
"80","es un nino que se la pasa gritando todo el dia",1
"81","feo?",1
"82","gato o un hamster",1
"83","gato , perro , raton .",1
"84","hamster",1
"85","hermano",1
"86","invalida x sistema",1
"87","juegos",1
"88","jugar a algo que me guste",1
"89","la bola de estanbre",1
"90","la bola de pelo del gato",1
"91","la cabeza de mi amiga",1
"92","la cabeza de un leon",1
