"line","word"
1,"que su hermano es griton"
2,NA
3,"que su hermano es griton"
4,"que su hermano es griton"
5,"porque grita mucho"
6,"no se"
7,"porque cuando quiere algo y no se lo das empieza a llorar y gritar"
8,"que su hermano es griton"
9,"que su hermano es griton"
10,"su hermano es un nino muy griton"
11,"porque grita mucho"
12,"que su hermano es griton"
13,"que su hermano es griton"
14,"que su hermano es griton"
15,"que es una pelota de gritos"
16,"que su hermano es griton "
17,"que su hermano es griton*"
18,"es una pelota muy gritos"
19,"que su hermano es griton*"
20,"no? ? "
21,"que su hermano es griton*"
22,"que su hermano es griton*"
23,"que su hermano es griton"
24,"que su hermano es griton"
25,"que su hermano es griton*"
26,"que su hermano es griton*"
27,"que su hermano es griton*"
28,"que su hermano es griton*"
29,"que su hermano es griton*"
30,"que su hermano es griton*"
31,"que su hermano es griton*"
32,"que su hermano es griton*"
33,"que su hermano es griton*"
34,"que su hermano es griton*"
35,"que mi hermanito tiene una pelota de gritos"
36,"que su hermano es griton*"
37,"que su hermano es griton*"
38,"un hermanito chiquito es un bebe que llora por comida, leche o que le cambien el panal."
39,"su hermano grita mucho"
40,"los ninos pequenos gritan mucho *"
41,"que grita mucho"
42,"su hermano grita mucho *"
43,"mi hermano grita mucho"
44,"que su hermano es gordito como una pelota y que su hermano grita mucho"
45,"que su hermanito grita mucho"
46,"que su hermanito grita mucho"
47,"que el grita mucho"
48,"es que su hermanito es igual a una pelota que grita mucho"
49,"porque grita mucho, pero te agrega pelota"
50,"que su hermano grita mucho *"
51,"que grita mucho"
52,"que su hermano llora mucho *"
53,"que su hermano grita mucho *"
54,"mi hermano grita mucho *"
55,"que su hermano grita mucho *"
56,"que su hermano grita mucho *"
57,"? qu tu hermano grita mucho*"
58,"mi hermano grita mucho"
59,"que grita mucho*"
60,"que grita mucho*"
61,"que su hermano grita mucho *"
62,"que su hermano llora mucho *"
63,"que su hermano grita mucho *"
64,"mi hermano grita mucho"
65,"mi hermano grita mucho"
66,"mi hermano grita mucho"
67,"mi hermano grita mucho"
68,"mi hermano grita mucho"
69,"mi hermano grita mucho"
70,"mi hermano grita mucho"
71,"mi hermano grita mucho"
72,"mi hermano grita mucho"
73,"mi hermano grita mucho"
74,"mi hermano grita mucho"
75,"mi hermano grita mucho"
76,"mi hermano grita mucho"
77,"mi hermano grita mucho"
78,"mi hermano grita mucho"
79,"mi hermano grita mucho"
80,"mi hermano grita mucho"
81,"mi hermano grita mucho"
82,"mi hermano grita mucho"
83,"mi hermano grita mucho"
84,"mi hermano grita mucho"
85,"mi hermano grita mucho"
86,"no entendi"
87,"mi hermano grita mucho"
88,"mi hermano grita mucho"
89,"mi hermano grita mucho"
90,"mi hermano tiene una pelota de gritos"
91,"mi hermano grita mucho"
92,"mi hermano grita mucho"
93,"mi hermanito tiene una pelota de gritos"
94,"es una presion"
95,"la pelota tiene gritos"
96,"mi hermano grita mucho"
97,"mi hermano grita mucho"
98,"mi hermano grita mucho"
99,"que su hermana es una pelota de gritos"
100,"que su hermano grita mucho*"
101,"que su hermano grita mucho"
102,"que su hermano es una pelota y que grita"
103,"que grita mucho"
104,"porque grita cada rato"
105,"que grita mucho"
106,"que su hermano grita mucho"
107,"que su hermano grita o llora mucho*"
108,"qu su hermano grita mucho*"
109,"fer rovin"
110,"que grita"
111,"que es gritona"
112,"que su hermano grita mucho"
113,"que su hermano grita"
114,"que grita mucho*"
115,"que su hermano es una pelota y grita para que lo ayuden"
116,"que grita mucho*"
117,"el nino siempre esta gritando"
118,"que esta gordito y grita mucho"
119,"que el hermanito grita todo el dia* "
120,"que su hermano grita mucho"
121,"es decir, que grita el hermanitp y la pelota"
122,"que su hermano grita mucho*"
123,"mi hermano grita mucho*"
124,"porque es gordito y grita mucho*"
125,"que grita mucho"
126,"mi hermano grita mucho*"
127,"que grita mucho*"
128,"que grita mucho todo el tiempo, es porque esta feliz"
129,"a mi me gusta jugar futbol con la pelota porque suena"
130,"mi hermano grita mucho"
131,"que cuando quiere algo grita o cuando juega grita mucho"
132,"porque es muy griton, muy latoso."
133,"que su hermano grita mucho*"
134,"que su hermano grita mucho"
135,"que su hermano grita mucho"
136,"que como su hermanito grita mucho, tiene una pelota de gritos"
137,"porque grita mucho y la pelota al rebotar suena"
138,"mi hermano grita mucho*"
139,"mi hermano grita mucho*"
140,"que siempre grita"
141,"chilla mucho cuando no tiene lo que quiere"
142,"que grita mucho"
143,"que su hermanito es muy griton"
144,"que siempre esta gritando"
145,"que tiene muchos granos ***"
146,"mi hermano grita mucho"
147,"que grita mucho y es muy travieso"
148,"que hace mucho berrinche o emocion"
149,"mi hermano grita mucho o simplemente llora mucho*"
150,"que su hermano esta gordito y grita mucho"
151,"al decir pelota puede que sea que brinca mucho y grita"
152,"porque no le gusta que rebote la pelota"
153,"que su hermano grita mucho*"
154,"que llora de todo porque es muy pequeno"
155,"mi hermanito grita mucho"
156,"porque reganan mucho los hemanos"
157,"su hermano grita mucho*"
158,"mi hermano grita mucho*"
159,"es porque siempre grita"
160,"que su hermano grita mucho"
161,"mi hermano grita mucho*"
162,"que grita mucho"
163,"su hermano es griton*"
164,"que su hermanito tiene guardado muchos gritos"
165,"mi hermano grita mucho*"
166,"que su hermano grita mucho"
167,"que su hermano es griton*"
168,"que mi hermano es muy escandaloso"
169,"que su hermano grita mucho*"
170,"que su hermano grita mucho"
171,"puedes decir que su hermanito es algo gordito y grita mucho"
172,"que su hermano a cada rato grita"
173,"que grita mucho y llora"
174,"quiere decir que el hermano grita constantemente"
175,"que mi hermano menor grita todo el tiempo"
176,"que mi hermano grita mucho"
177,"que su hermanito es el que grita mas en su casa"
178,"que su hermano grita mucho"
179,"que mi hermano es griton*"
180,"porque no para de gritar"
181,"que grita sin parar con una pelota"
182,"que los ninos chiquitos hacen mucho berrinche"
183,"que su hermano es muy griton*"
184,"que su hermanito grita demasiado"
185,"mi hermanito es muy griton"
186,"que grita mucho"
187,"mi hermanito es de berrinches"
188,"que su hermano grita mucho*"
189,"que su hermano grita mucho"
190,"mi hermano brinca mucho y llora de a gritos"
191,"que grita mucho*"
192,"es como si su pelota hace mucho ruido por eso dice, es una pelota de gritos"
193,"porque mi hermanito es gordo de muchos gritos"
194,"que su hermano siempre esta gritando y saltando"
195,"que su hermano grita mucho"
196,"quiere decir que su hermanito grita mucho en casa"
197,"que a su hermano le gustan los gritos"
198,"que su hermano grita mucho"
199,"que el hermano es ruidoso"
200,"que es una persona que no para de gritar"
201,"que su hermano grita mucho*"
202,"su hermano grita mucho*"
203,"su hermano es griton*"
204,"que su hermanito cuando llora, grita"
205,"mi hermano grita mucho*"
206,"creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo"
207,"quiere decir que su hermano grita mucho"
208,"el hermano siempre esta gritando como una pelota que siempre rebota"
209,"porque mi hermanito es muy latoso"
210,"que su hermano grita mucho"
211,"mi hermano grita mucho*"
212,"que no para de llorar ni quejarse y llorar y a cada rato esta gritando"
