,Unnamed: 0,que mi hermanito grita mucho,limpio,similarity,wmdistances,n_similarities,distance,spacy
0,0,si. porque canta,['canta'],False,False,False,False,0.0
1,1,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
2,2,NS,['NS'],False,False,False,False,0.0
3,3,que mi hermano habla y llora mucho,"['hermano', 'llora']",-0.08023764,0.04211252331970074,-0.15989026,1.080237640067935,-0.1598902659360073
4,4,porque es muy travieso o llora mucho,"['travieso', 'llora']",-0.101670794,0.0419367426332552,-0.20780554,1.1016707923263311,-0.20780554688099248
5,5,sus hemanos gritan mucho,"['hemanos', 'gritan']",0.07636154,0.039953230366760864,0.108274534,0.9236384630203247,0.10827453671647777
6,6,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
7,7,porque algunos gritamos cuando queremos,['gritamos'],False,False,False,False,0.0
8,8,es muy irritante y llora mucho,"['irritante', 'llora']",-0.08552028,0.04178141892800853,-0.13207121,1.0855202786624432,-0.1320711933992966
9,9,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
10,10,mi hermano es un griton,"['hermano', 'griton']",0.0031861067,0.039237635033791886,-0.007655694,0.9968138951808214,-0.0076556848211667165
11,11,mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
12,12,NS,['NS'],False,False,False,False,0.0
13,13,su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
14,14,que grita mucho y no para de reir,"['grita', 'reir']",0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
15,15,que su hermano es chillon,"['hermano', 'chillon']",-0.051960483,0.03977283850598336,-0.1137906,1.0519604831933975,-0.11379059858538669
16,16,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
17,17,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
18,18,lenguaje literal,"['lenguaje', 'literal']",False,False,False,False,0.0
19,19,que mi hermano esta gritando,"['hermano', 'gritando']",-0.027698452,0.0417961235492453,-0.07878118,1.027698451653123,-0.0787811630763219
20,20,que es griton,['griton'],0.081327215,0.03912271664053202,0.11515425,0.918672788888216,0.1151542445360618
21,21,mi hermano es una pelota que grita mucho,"['hermano', 'pelota', 'grita']",0.13579953,0.02705119308465477,0.4019607,0.8642004877328873,0.4019606915691651
22,22,porque cuando no le dan algo se enoja y empieza a gritar,"['enoja', 'empieza', 'gritar']",0.053038348,0.04047812430082821,0.07066457,0.9469616524875164,0.07066456625322715
23,23,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
24,24,mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
25,25,0,[],False,False,False,False,0.0
26,26,es como cuando grita mucho muy fuerte,"['grita', 'fuerte']",0.29392067,0.019943596423745154,0.5940717,0.7060793424025178,0.5940716870718478
27,27,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
28,28,no grita porque no es como su hermano,"['grita', 'hermano']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
29,29,que se asusta siempre o es muy enojona y grita mucho de furia,"['asusta', 'enojona', 'grita', 'furia']",0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
30,30,es lloron y es pelota de gritos,"['lloron', 'pelota', 'gritos']",0.04949489,0.03954633498451486,0.091641285,0.9505051141604781,0.09164126949339119
31,31,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
32,32,mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
33,33,que bota,['bota'],False,False,False,False,0.0
34,34,que su hermano siempre esta gritando,"['hermano', 'gritando']",-0.027698452,0.0417961235492453,-0.07878118,1.027698451653123,-0.0787811630763219
35,35,porque grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
36,36,que es aburrido,['aburrido'],False,False,False,False,0.0
37,37,que su hermano siempre o la mayoria de veces grita o llora,"['hermano', 'mayoria', 'grita', 'llora']",0.12056226,0.026680796348848335,0.3628745,0.8794377415130535,0.36287449090641655
38,38,porque su hermanito es pequeno y grita por eso,"['hermanito', 'pequeno', 'grita']",0.3544696,0.013366909693887447,0.83741546,0.645530404523015,0.8374154495209163
39,39,cuando un hermanito grita porque quiere algo,"['hermanito', 'grita']",0.5221621,0.0,1.0,0.47783794440329075,0.999999978471629
40,40,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
41,41,si. porque siempre chilla,['chilla'],-0.01743406,0.042277987866176286,-0.019028418,1.0174340605735779,-0.01902841714403057
42,42,que esta gritando todo el dia,['gritando'],0.019558098,0.04152206001244486,0.015338458,0.980441901832819,0.015338460474377915
43,43,porque las hermanas por todo se enojan,"['hermanas', 'enojan']",False,False,False,False,0.0
44,44,su hermano es muy travieso,"['hermano', 'travieso']",-0.096388154,0.04226784990357049,-0.19769743,1.096388153731823,-0.19769741123507067
45,45,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
46,46,que su hermano es griton,"['hermano', 'griton']",0.0031861067,0.039237635033791886,-0.007655694,0.9968138951808214,-0.0076556848211667165
47,47,es muy escandaloso,['escandaloso'],-0.022286162,0.04136412875211797,-0.02334173,1.0222861617803574,-0.023341737208119134
48,48,llora por ella ,['llora'],-0.08552028,0.04178141892800853,-0.13207121,1.0855202786624432,-0.1320711933992966
49,49,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
50,50,porque esa pelota esta muy poco inflada,"['pelota', 'inflada']",-0.03980852,0.04289260014362633,-0.059199493,1.0398085173219442,-0.05919947633371592
51,51,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
52,52,una persona que grita mucho,"['persona', 'grita']",0.25859043,0.01929728146526404,0.5762817,0.7414095802232623,0.5762817379537895
53,53,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
54,54,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
55,55,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
56,56,es un nino griton,"['nino', 'griton']",0.03805423,0.039459601942017676,0.073000334,0.9619457703083754,0.07300033664619703
57,57,que mi hermanito grita mucho,"['hermanito', 'grita']",0.5221621,0.0,1.0,0.47783794440329075,0.999999978471629
58,58,que es griton,['griton'],0.081327215,0.03912271664053202,0.11515425,0.918672788888216,0.1151542445360618
59,59,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
60,60,que su hermano es muy griton,"['hermano', 'griton']",0.0031861067,0.039237635033791886,-0.007655694,0.9968138951808214,-0.0076556848211667165
61,61,mi hermano siempre grita,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
62,62,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
63,63,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
64,64,que mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
65,65,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
66,66,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
67,67,que es un gordito que grita,"['gordito', 'grita']",0.33342326,0.020649444311857224,0.6183774,0.6665767533704638,0.618377371236251
68,68,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
69,69,que mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
70,70,que mi hermano es griton,"['hermano', 'griton']",0.0031861067,0.039237635033791886,-0.007655694,0.9968138951808214,-0.0076556848211667165
71,71,porque se expresa de manera en la que es como llora mucho,"['expresa', 'llora']",-0.08552028,0.04178141892800853,-0.13207121,1.0855202786624432,-0.1320711933992966
72,72,que es gordo y grita mucho,"['gordo', 'grita']",0.3332055,0.018037735108181834,0.6642314,0.6667945152148604,0.6642314081090813
73,73,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
74,74,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
75,75,que a cada rato grita,"['rato', 'grita']",0.27799758,0.020078409443171696,0.577036,0.7220024392008781,0.5770360161015619
76,76,que el hermano es una persona gritona,"['hermano', 'persona', 'gritona']",-0.017655684,0.04132704405425933,-0.06545311,1.0176556843022506,-0.06545310132760092
77,77,que mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
78,78,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
79,79,que mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
80,80,mas o menos le entendi,['entendi'],False,False,False,False,0.0
81,81,que es muy enojon,['enojon'],False,False,False,False,0.0
82,82,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
83,83,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
84,84,NS,['NS'],False,False,False,False,0.0
85,85,que los bebes lloran,"['bebes', 'lloran']",0.07860018,0.04051709134933725,0.11349483,0.9213998150080442,0.11349482313320731
86,86,que mi hermano grita,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
87,87,que su hermano tiene una cabeza redonda y siempre grita,"['hermano', 'cabeza', 'redonda', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
88,88,que grita,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
89,89,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
90,90,que su hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
91,91,mi  hermano bebe chilla y grita mucho,"['hermano', 'bebe', 'chilla', 'grita']",0.11721644,0.03003629017799534,0.41124275,0.8827835689298809,0.41124275276238137
92,92,que mi hermano siempre grita,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
93,93,que tu hermano cada vez que salta grita,"['hermano', 'salta', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216325947819
94,94,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
95,95,mi hermano grita mucho,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
96,96,que mi hermanito siempre grita y no suelta la pelota,"['hermanito', 'grita', 'suelta', 'pelota']",0.33483854,0.014297516612722671,0.80097973,0.6651614687095085,0.8009797843840909
97,97,que su hermanito grita pelotas pelotas,"['hermanito', 'grita', 'pelotas', 'pelotas']",0.5221621,0.0,1.0,0.47783794440329075,0.999999978471629
98,98,que grita mucho,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
99,99,circular comelona,"['circular', 'comelona']",False,False,False,False,0.0
100,100,su hermano grita,"['hermano', 'grita']",0.22360355,0.019130536618763582,0.54872155,0.7763964729383588,0.5487216067051145
101,101,(dormido),['dormido'],False,False,False,False,0.0
102,102,que grita demasiado,['grita'],0.5221621,0.020206093788146973,0.77471304,0.47783794440329075,0.7747130304725875
103,103,mi hermana es una pelota de risa,"['hermana', 'pelota', 'risa']",-0.03980852,0.04289260014362633,-0.059199493,1.0398085173219442,-0.05919949032845537
104,104,NS,['NS'],False,False,False,False,0.0
