"","word","n"
"1","que grita mucho",20
"2","que su hermano grita mucho",20
"3","que su hermano grita mucho*",14
"4","que mi hermano grita mucho*",5
"5","no se",4
"6","que mi hermanito grita mucho",4
"7","que mi hermano grita mucho",4
"8","mi hermano grita mucho",3
"9","mi hermano grita mucho*",2
"10","que es muy gritona",2
"11","que mi hermano siempre grita",2
"12","que su hermano es griton*",2
"13","que su hermano siempre esta gritando",2
"14","bueno si es bebe si y si no tambien grita y grita",1
"15","circular comelona",1
"16","creo que es mi hermano pero grita mucho",1
"17","cuando un hermanito grita porque quiere algo",1
"18","de que mi pelota es muy gritona como mi hermano",1
"19","(dormido)",1
"20","es como cuando grita mucho muy fuerte",1
"21","es lloron y es pelota de gritos",1
"22","es muy escandaloso",1
"23","es muy irritante y llora mucho",1
"24","es un nino griton",1
"25","grita mucho",1
"26","grita siempre me grita",1
"27","lenguaje literal",1
"28","llora por ella",1
"29","mas o menos le entendi",1
"30","mi hermana es una pelota de risa",1
"31","mi hermanito es un nino que es de lo mejor de lo mejor",1
"32","mi hermanito grita porque se eleva la pelota",1
"33","mi hermano bebe chilla y grita mucho",1
"34","mi hermano es una pelota que grita mucho*",1
"35","mi hermano es un griton",1
"36","mi hermano es un griton*",1
"37","mi ? hermano se la pasa gritando",1
"38","mi hermano siempre grita",1
"39","no es una pelota de gritos es namas una pelota para jugar.",1
"40","no grita porque no es como su hermano",1
"41","no lo se",1
"42","no para de gritar, o sea yo",1
"43","o sea que chilla mucho",1
"44","porque algunos gritamos cuando queremos",1
"45","porque cuando no le dan algo se enoja y empieza a gritar",1
"46","porque esa pelota esta muy poco inflada",1
"47","porque es latoso",1
"48","porque es muy escandalosa",1
"49","porque es muy travieso o llora mucho",1
"50","porque esta gordito y es griton",1
"51","porque grita",1
"52","porque grita muchas veces",1
"53","porque grita mucho",1
"54","porque las hermanas por todo se enojan",1
"55","porque le encanta gritar",1
"56","porque llora y grita y hace berrinches",1
"57","porque se expresa de manera en la que es como llora mucho",1
"58","porque seguramente es un bebe y los bebes gritan y lloran*",1
"59","porque su hermanito es pequeno y grita por eso",1
"60","porque su hermano grita mucho o todo el dia",1
"61","porque su hermano se la pasa gritando todo el tiempo",1
"62","porque todo tiene que ser una pelota",1
"63","pues se refiere a que su hermanito es muy griton o grita mucho",1
"64","que a cada rato grita",1
"65","que bota",1
"66","que cuando grita es que quiere algo",1
"67","que cuando juega con la pelota grita",1
"68","que cuando rebota suena como un grito",1
"69","que el hermanito bebe siempre grita",1
"70","que el hermano es travieso y grita mucho",1
"71","que el hermano es una persona gritona",1
"72","que el hermano siempre grita",1
"73","que es aburrido",1
"74","que ese hermanito llora mucho y grita mucho",1
"75","que es gordo y grita mucho",1
"76","que es griton",1
"77","que es griton*",1
"78","que es griton y juega con una pelota",1
"79","que es muy divertido y grita mucho",1
"80","que es muy enojon",1
"81","que es muy griton*",1
"82","que es muy jugueton y grita mucho",1
"83","que esta gritando todo el dia",1
"84","que es un gordito que grita",1
"85","que es un griton",1
"86","que grita",1
"87","que grita demasiado",1
"88","que grita mucho y no para de reir",1
"89","que hermanito es un griton, chillon, comelon, etc.",1
"90","que llora mucho y molesta",1
"91","que llora, que grita",1
"92","que llora y grita cuando necesita algo",1
"93","que llora y grita mucho",1
"94","que los bebes lloran",1
"95","que los ninos chicos gritan mucho",1
"96","que ""mi hermana es una persona de gritos""",1
"97","que mi hermanita grita",1
"98","que mi hermanito esta triste :(",1
"99","que mi hermanito siempre grita a cada segundo",1
"100","que mi hermanito siempre grita y no suelta la pelota",1
"101","que mi hermano es griton*",1
"102","que mi hermano esta gritando",1
"103","que mi hermano grita",1
"104","que mi hermano habla y llora mucho",1
"105","que mi hermano nunca deja de gritar",1
"106","que mi hermano pequeno grita muchisimo*",1
"107","que no puede haber pelotas asi",1
"108","que se asusta siempre o es muy enojona y grita mucho de furia",1
"109","que se la pasa gritando",1
"110","que su hermana todo el tiempo grita",1
"111","que su hermanito grita mucho",1
"112","que su hermanito grita pelotas pelotas",1
"113","que su hermanito grita y es redondo",1
"114","que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos",1
"115","que su hermano es chillon",1
"116","que su hermano es chillon o griton",1
"117","que su hermano es muy enojon",1
"118","que su hermano es muy griton",1
"119","que su hermano grita",1
"120","que su hermano grita bien alto",1
"121","que su hermano grita mucho y le gusta saltar",1
"122","que su hermano grita mucho y todo lo que dice tiene que ver con pelotas",1
"123","que su hermano grita muy fuerte diario",1
"124","que su hermano grita o llora todo el dia",1
"125","que su hermano grita y llora mucho",1
"126","que su hermano llora mucho",1
"127","que su hermano no para de gritar",1
"128","que su hermano rueda",1
"129","que su hermano siempre o la mayoria de veces grita o llora",1
"130","que su hermano tiene una cabeza redonda y siempre grita",1
"131","que tu hermano cada vez que salta grita",1
"132","que un nino llora y grita cuando no le hacen caso o algo asi",1
"133","si",1
"134","si, porque canta",1
"135","si, porque siempre chilla",1
"136","si porque tal vez asi es y les guste decirle asi",1
"137","si que es un bebe y que le meten un ladrillo por la boca para callarlo",1
"138","su hermano es muy travieso",1
"139","su hermano grita",1
"140","su hermano grita mucho",1
"141","sus hemanos gritan mucho",1
"142","tu hermanito saltara y saltara y no tiene sentido",1
"143","una pelota de gritos porque los bebes siempre lloran, gritan, eructan y muchas mas cosas",1
"144","una persona que grita mucho",1
"145",NA,1
