"","word","ninos","author","proportion"
"1","****",0.00462962962962963,"ninas",NA
"2","algo duro",0.00462962962962963,"ninas",NA
"3","algo fresco",NA,"ninas",0.00471698113207547
"4","algo muy bonito",NA,"ninas",0.00471698113207547
"5","algo que aprecio mucho",0.00462962962962963,"ninas",NA
"6","algo que sea muy brillante",NA,"ninas",0.00471698113207547
"7","algo que te dan ganas de decirlo",NA,"ninas",0.00471698113207547
"8","algo redondo de plata",NA,"ninas",0.00471698113207547
"9","alguien que es muy valioso para ti",NA,"ninas",0.00471698113207547
"10","a lo mejor tiene un trofeo",NA,"ninas",0.00471698113207547
"11","arbol porque el podia hacerse de plata, hojas de plata, tallos de plata",NA,"ninas",0.00471698113207547
"12","balones porque es lo que mas me gusta",0.00462962962962963,"ninas",NA
"13","bandeja puede ser de plata",NA,"ninas",0.00471698113207547
"14","bueno la luna esta brillante como la plata",0.00462962962962963,"ninas",NA
"15","cartera o dinero",0.00462962962962963,"ninas",NA
"16","como alguien muy importante",NA,"ninas",0.00471698113207547
"17","como las estrella brillan y la plata refleja la luz como una estrella",0.00462962962962963,"ninas",NA
"18","como si brilla",0.00462962962962963,"ninas",NA
"19","como si fuera algo que tu quisieras o una pelota pintada de plata",NA,"ninas",0.00471698113207547
"20","como si fuera muy especial para el",0.00462962962962963,"ninas",NA
"21","como una pelota plateada pintada",NA,"ninas",0.00471698113207547
"22","consigue dinero para su familia",NA,"ninas",0.00471698113207547
"23","corazon fuerte",NA,"ninas",0.00471698113207547
"24","creo que es una bala de iman",0.00462962962962963,"ninas",NA
"25","cuando algo es bonito",0.00462962962962963,"ninas",NA
"26","de donde puede tener mas de todos",NA,"ninas",0.00471698113207547
"27","donde estan las plantas",NA,"ninas",0.00471698113207547
"28","(dormido)",0.00462962962962963,"ninas",NA
"29","el cabello puede ser color plata",0.00462962962962963,"ninas",NA
"30","el dinero",0.00462962962962963,"ninas",NA
"31","el es blanco",0.00462962962962963,"ninas",NA
"32","el estomago, porque es un poquito duro",0.00462962962962963,"ninas",NA
"33","el globo es una pelota de plata",NA,"ninas",0.00471698113207547
"34","el hierro es como la plata",NA,"ninas",0.00471698113207547
"35","ella porque seria alguien bonito",0.00462962962962963,"ninas",NA
"36","el mar es una pelota de plata",0.00925925925925926,"ninas",NA
"37","el minero",NA,"ninas",0.00471698113207547
"38","el minero saca la plata por eso",0.00462962962962963,"ninas",NA
"39","el nino",NA,"ninas",0.00471698113207547
"40","el pinpon tiene una pelota de plata",NA,"ninas",0.00471698113207547
"41","el una persona puede ser el",NA,"ninas",0.00471698113207547
"42","en los anillos a veces hay adentro plata",NA,"ninas",0.00471698113207547
"43","es algo que brilla y parece de plata",NA,"ninas",0.00471698113207547
"44","es algo valioso para el",0.00462962962962963,"ninas",NA
"45","es alguien una persona que quieras como tu mama o un amigo",0.00462962962962963,"ninas",NA
"46","es blanca una bola que parece pelota es suave",NA,"ninas",0.00471698113207547
"47","es como el ejemplo para su hijo y es casi de oro porque trabaja",0.00462962962962963,"ninas",NA
"48","es como una amiga que vale oro",NA,"ninas",0.00943396226415094
"49","es como una bola de plata",0.00462962962962963,"ninas",NA
"50","es cuando estas feliz",NA,"ninas",0.00471698113207547
"51","es dinero se puede decir plata y dinero",0.00462962962962963,"ninas",NA
"52","es dorado, porque es como un color",NA,"ninas",0.00471698113207547
"53","es dura",0.00462962962962963,"ninas",NA
"54","ese una persona de plata",0.00462962962962963,"ninas",NA
"55","esfera, es redonda y de plata",NA,"ninas",0.00471698113207547
"56","es fuerte",NA,"ninas",0.00471698113207547
